"","ELEC-a","GASHeat-a","OIL-a","COAL-a","ENIT-a","NEINT-a","Rice-a","Barley-a","Bean-a","Potato-a","Vegi-a","Fruit-a","Flower-a","MissCrop-a","Dairy-a","Meat-a","Pork-a","Poultry-a","MissLstock-a","Household","Total"
"GASHeat-c",439.0882812,42.6574264,0.5375189,0.0195875,45.7942931,209.1065519,0.0450884954064291,0.00114780459357095,0,0,0.003144,0.0008484,0.0711385,0.0085336,0.000524,0.0013973,0.0015221,0.0008983,0.0018714,170.74949,908.0892629
"OIL-c",104.6097451,16.299598,49.2335899,0.860783,804.2477614,523.3234714,2.6330167183571,0.120292881642898,0.194981,0.1895603,6.2491819,1.6719899,7.0444104,0.4590744,0.0780334,0.2351758,0.1931279,0.3739091,0.076966,289.2644,1807.3590685
"COAL-c",1884.0897472,57.0685293,0,0.3149716,847.786764,37.0675886,0,0,0,0,4.7468636,0.1723228,4.0137996,0,0,0,1.4130892,0.073381,0.1706187,8.65267,2845.5703456
"process",0,0,0,0,290.8706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.8706
"Total",2427.7877735,116.0255537,49.7711088,1.1953421,1988.6994185,769.4976119,2.67810521376353,0.121440686236469,0.194981,0.1895603,10.9991895,1.8451611,11.1293485,0.467608,0.0785574,0.2365731,1.6077392,0.4481884,0.2494561,468.66656,5851.889277
