"","ELEC-a","GAS-a","HEAT-a","ROIL-a","CoalPro-a","Coal-a","Oil-a","LNG-a","Mining-a","IS-a","Cement-a","Orgchem-a","WoodPaper-a","FiberLeather-a","Mineral-a","nonISmetal-a","Machine-a","Electro_e-a","Electro_ne-a","Electro_sig-a","semicon-a","Auto-a","Ship-a","Food-a","MissManu-a","Const-a","Rail-a","Road-a","Air-a","Marine-a","MissTrans-a","Housing-a","Commercial-a","Public-a","Agri-a","Waste-a","CO2-a","ELEC-c","GAS-c","HEAT-c","ROIL-c","CoalPro-c","Coal-c","Oil-c","LNG-c","Mining-c","IS-c","Cement-c","Orgchem-c","WoodPaper-c","FiberLeather-c","Mineral-c","nonISmetal-c","Machine-c","Electro_e-c","Electro_ne-c","Electro_sig-c","semicon-c","Auto-c","Ship-c","Food-c","MissManu-c","Const-c","Rail-c","Road-c","Air-c","Marine-c","MissTrans-c","Housing-c","Commercial-c","Public-c","Agri-c","Waste-c","CO2-c","Labor","Capital","Household","GoV","NRES","Ptaxin","Ptaxetc","Tarrif","YTAX","S-I","ROW"
"Air-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15920.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marine-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35690.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MissTrans-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32413.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Housing-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81096.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commercial-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876238.987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Public-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159592.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agri-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52969.023,0,0,0,0,0,0,0,0,0,0,0,0,0
"Waste-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16519.25,0,0,0,0,0,0,0,0,0,0,0,0
"CO2-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELEC-c",556.757,22.833,41.641,815.588,57.237,15.664,0,0,75.417,3155.746,291.673,1513.406,780.137,951.949,306.673,807.306,574.968,313.81,475.182,908.911,426.328,570.04,218.318,475.504,2058.202,336.959,291.819,58.358,9.635,18.667,957.917,45.153,13040.335,2756.537,272.211,371.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7975.42,0,0,0,0,0,0,0,83.761
"GAS-c",8575.153,12.708,479.415,21.542,0.596,0.189,0,0,2.183,637.072,9.467,221.46,39.906,185.559,321.328,354.936,243.342,252.078,182.278,489.779,124.272,216.517,50.68,119.719,861.379,170.587,3.107,583.778,4.056,2.614,46.399,15.081,4506.642,498.282,9.442,69.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6843.083,0,0,0,0,0,0,0,15.649
"HEAT-c",0,0,700.018,448.487,0,0,0,0,0,0,0,967.269,107.188,122.518,0,0,3.389,0,2.044,1.101,26.741,0,0,10.451,230.606,6.761,0,0.259,0.137,0.05,6.545,0,117.739,66.363,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027.766,0,0,0,0,0,0,0,2.385
"ROIL-c",2300.089,284.577,395.385,4315.617,66.204,1.784,0.238,1.346,154.537,820.437,453.193,29393.459,433.883,390.951,1479.244,254.721,674.391,384.327,311.648,130.403,78.847,634.4,197.525,440.793,3899.917,2624.78,151.053,7269.884,4687.274,6913.771,1109.079,0,10213.577,1831.786,1632.669,335.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10533.374,0,0,0,0,0,0,2020.825,40993.88
"CoalPro-c",0,0,0,0,3.503,0,0,0,0,6332.665,54.123,0,0,0,34.423,4.052,0,0,0,0,0,0,0,0,95.82,10.891,0,0,0,0,27.989,0,100.594,10.848,103.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.243,0,0,0,0,0,0,28.91,22.948
"Coal-c",8892.316,0,469.276,0,5043.331,0,0,0,0,881.246,711.55,0,0,0,60.221,23.369,0,0,0,0,0,0,0,0,63.592,0,0,0,0,0,0,0,4.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-938.352,0.742
"Oil-c",0,0,0,78926.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.833,0
"LNG-c",0,19342.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.704,0
"Mining-c",0.529,0,0.796,6.124,0,0,0,0,0,8630.249,1001.991,56.51,32.615,4.069,972.098,7894.231,9.46,4.171,0.159,23.124,10.979,3.699,0.045,14.985,717.407,1108.735,0,0,0,0,0,0,12.972,2.506,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,0,0,0,0,0,0,-213.322,138.554
"IS-c",43.132,13.391,3.71,104.19,11.275,5.483,0.446,2.061,3.163,96759.572,670.826,863.667,31.431,41.969,23.282,184.164,10168.359,2476.554,1174.82,726.231,186.951,5574.088,9020.81,3.732,24156.7,14670.992,0.339,2.314,9.714,13.088,29.142,0,410.332,31.943,62.513,19.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.589,0,0,0,0,0,0,2528.823,28118.052
"Cement-c",0,0,0,0,0,0,0,0,0,0,2349.927,0,0,0,12.872,0,0,0,0,0,0,0,0.177,0,1.518,10958.765,0,0,0,0,0,0,3.068,0.957,0,3.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.139,0,0,0,0,0,0,13.579,331.242
"Orgchem-c",317.419,3.865,1.951,968.096,21.658,4.634,0,0,15.353,372.066,81.302,59845.128,1107.608,4700.679,607.289,82.671,4468.286,4444.07,5292.723,3967.492,2138.561,9843.378,787.27,1813.278,16411.491,5838.2,0.556,875.556,21.709,33.909,457.104,0,5489.456,273.241,668.859,315.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601.658,0,0,0,0,0,0,-807.648,52593.476
"WoodPaper-c",101.196,4.195,2.177,116.849,8.377,3.584,0,0.017,5.017,248.346,79.2,642.798,13150.654,635.075,409.945,116.042,393.142,643.858,727.24,222.396,101.254,358.697,153.818,1837.604,3481.948,2591.405,2.397,28.995,0.924,20.941,659.615,0,10435.064,1562.382,500.083,155.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857.061,0,0,0,0,0,0,-838.093,3375.768
"FiberLeather-c",95.361,7.175,1.54,35.501,8.55,1.095,0.02,0.098,3.176,193.635,23.572,1229.534,345.245,19132.742,91.665,23.347,253.414,88.75,304.305,204.156,26.518,600.59,123.227,147.12,2390.943,499.187,5.362,175.287,1.437,53.507,697.067,0,4156.049,498.968,393.211,232.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22450.772,0,0,0,0,0,0,2329.398,20993.22
"Mineral-c",53.754,0,0,27.581,73.602,0,0,0.049,0.546,1227.265,191.354,191.918,83.952,12.558,3764.047,100.663,521.366,839.902,676.814,11176.546,356.52,687.305,248.741,485.382,1478.482,6734.971,1.007,1.883,7.606,1.576,23.903,0,585.011,67.921,20.214,169.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.4,0,0,0,0,0,0,489.642,1465.513
"nonISmetal-c",15.336,0,0,26.597,2.252,0.467,0,0,0,1519.107,8.855,206.264,35.615,9.18,103.529,16077.021,1897.973,8953.098,1845.226,708.966,1763.164,1706.255,222.324,4.567,8498.911,1076.124,0,0,31.537,0,7.458,0,258.441,15.03,2.686,680.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.652,0,0,0,0,0,0,-266.156,13335.893
"Machine-c",874.004,152.226,136.636,977.657,53.211,7.011,2.319,13.348,37.831,1157.835,182.24,2749.721,232.005,383.977,406.087,255.825,27653.789,1822.713,2334.568,2779.924,1581.564,5185.363,8920.11,317.858,4858.269,6375.396,17.633,69.66,100.005,75.207,600.605,6.858,8799.781,2400.322,303.619,685.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388.203,0,0,0,0,0,0,55105.06,44572.775
"Electro_e-c",1091.264,21.553,3.052,106.205,71.488,11.367,0,0,8.668,476.042,120.739,183.742,51.866,45.173,67.008,70.392,6808.826,14857.471,6171.335,2553.227,564.251,5025.68,2543.551,20.423,1709.269,8591.693,9.547,334.177,44.731,43.677,287.096,0,4831.149,308.833,110.368,129.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.975,0,0,0,0,0,0,7292.971,18986.829
"Electro_ne-c",230.765,8.004,4.645,58.654,15.587,0.012,0,0,0.475,124.77,10.816,67.099,17.55,24.232,23.523,12.442,2220.043,1296.024,23085.144,4620.99,3239.438,1795.589,292.214,23.504,432.851,1646.51,1.731,43.073,31.541,25.898,379.031,24.619,11936.55,600.188,13.922,116.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17231.034,0,0,0,0,0,0,12219.994,55866.769
"Electro_sig-c",0,0,0,0,0,0,0,0,0,0,0,0,0.652,0,0,0,1530.813,106.198,10990.59,26325.516,46.022,242.102,0.596,0.01,102.819,18.215,0,0,0.319,0,0.074,0,123.545,11.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2676.181,63761.662
"semicon-c",8.649,0,0,0,0,0,0,0,0,0.35,0,1.43,0.636,0,0,0.83,1715.05,1435.619,12118.114,5504.543,17820.633,820.134,10.819,0.016,163.975,15.187,0,0,0.244,0,0.171,0,1088.086,14.672,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.322,0,0,0,0,0,0,-1169.841,49030.125
