"","ELEC-a","GAS-a","HEAT-a","ROIL-a","CoalPro-a","Coal-a","Oil-a","LNG-a","Mining-a","IS-a","Cement-a","Orgchem-a","WoodPaper-a","FiberLeather-a","Mineral-a","nonISmetal-a","Machine-a","Electro_e-a","Electro_ne-a","Electro_sig-a","semicon-a","Auto-a","Ship-a","Food-a","MissManu-a","Const-a","Rail-a","Road-a","Air-a","Marine-a","MissTrans-a","Housing-a","Commercial-a","Public-a","Agri-a","Waste-a","CO2-a","ELEC-c","GAS-c","HEAT-c","ROIL-c","CoalPro-c","Coal-c","Oil-c","LNG-c","Mining-c","IS-c","Cement-c","Orgchem-c","WoodPaper-c","FiberLeather-c","Mineral-c","nonISmetal-c","Machine-c","Electro_e-c","Electro_ne-c","Electro_sig-c","semicon-c","Auto-c","Ship-c","Food-c","MissManu-c","Const-c","Rail-c","Road-c","Air-c","Marine-c","MissTrans-c","Housing-c","Commercial-c","Public-c","Agri-c","Waste-c","CO2-c","Labor","Capital","Household","GoV","NRES","Ptaxin","Ptaxetc","Tarrif","YTAX","S-I","ROW"
"Housing-c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81588.038,0,0,0,0,0,0,0,380.637
"Commercial-c",2972.852,715.646,223.547,3971.85,355.006,41.594,6.885,32.968,310.365,7477.334,1587.218,11831.3,4084.088,8367.472,2254.893,2008.071,13002.939,6057.168,12913.201,9064.992,4093.161,16237.86,3859.734,11974.115,23238.579,30849.272,252.653,4680.669,1699.879,5098.474,8575.886,10168.523,225065.451,21370.921,3751.129,3069.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314639.208,43261.534,0,0,0,0,0,75657.977,40580.98
"Public-c",56.152,8.559,5.33,19.191,5.274,0.694,0,0.005,1.563,90.313,32.386,84.242,19.583,25.526,15.302,10.622,54.01,14.397,28.14,48.148,10.655,77.487,8.708,33.658,141.34,83.312,5.855,43.956,509.365,5.256,65.707,14.955,2950.98,685.276,139.25,90.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10879.738,139163.834,0,0,0,0,0,6029.448,273.067
"Agri-c",1.268,0.081,0.2,1.534,0.066,2.8,0,0,0.819,4.957,0.945,1406.372,1071.643,616.551,1.81,2.755,7.706,1.876,5.297,5.148,0.754,11.513,0.85,30962.19,499.762,818.985,0.109,1.59,0.145,1.132,9.762,0,7101.478,114.522,3685.653,2.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14509.494,0,0,0,0,0,0,1949.315,776.428
"Waste-c",184.82,4.75,14.699,52.236,8.532,0.079,0.002,0.006,4.198,2463.728,251.888,1018.287,726.5,108.029,214.039,801.808,148.458,133.373,78.759,4.804,19.564,303.764,86.423,379.333,1516.976,215.429,16.606,133.583,0.14,0.84,89.195,0,2719.155,553.388,58.274,1003.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486.224,683.147,0,0,0,0,0,0,39.108
"CO2-c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labor",3438.079,682.118,236.523,1111.495,27.564,113.7,1.501,6.732,572.173,7059.102,1108.37,9983.019,4546.877,6600.024,2692.263,1723.552,17139.687,7835.82,8595.037,4500.015,6599.282,15993.215,6470.259,6743.74,30517.029,44786.876,2943.381,10219.979,2157.2,1070.123,6549.472,0,237147.454,80684.516,3828.25,2665.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capital",9153.961,2664.804,987.29,4992.359,430.562,10.971,20.297,127.576,1264.19,15871.912,1531.323,17933.098,4529.959,7343.744,5012.959,3321.11,17739.051,10739.209,13551.438,18125.837,15562.423,15127.267,8836.863,6993.171,33874.873,12240.539,157.647951868046,8116.661,2474.025,2641.454,7562.949,62432.755,223050.898,33943.1,23425.287,3782.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536350.258,595573.660951868,0,39046,1075.434,0,0,0,0,0,0
"GoV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140407.337048132,13654.088,0,83753,0,0
"NRES",-47.827,-0.272,-5.568,369.524,-0.481,-0.723,0,0,-2.714,4256.095,-30.697,559.378,504.277,-35.504,482.214,1372.824,-382.951,-170.879,-157.53,-69.714,-73.306,-193.246,-130.217,-4.324,-1019.511,-564.272,-5.532,-17.881,-0.102,-22.459,-27.574,-2.419,-506.952,-78.188,-2.314,-62.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptaxin",263.253,2025.732,84.276,1487.791,-38.195,11.621,0.141,0.812,72.503,160.077,91.571,505.748,130.28,543.166,308.899,111.516,720.625,337.982,362.805,402.752,156.861,533.466,86.444,1260,1228.864,3023.935,-265.491951868046,3710.755,26.983,1054.555,617.842,415.802,17611.269,3221.778,486.808,799.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46452.566,0,0,0,0,0,0,31724.564,20677.387
"Ptaxetc",110.188,17.229,3.32,141.248,0.504,1.141,0.164,0.93,17.321,138.683,18.907,197.93,49.166,70.607,31.042,49.995,174.811,88.947,143.814,100.039,64.01,192.433,79.349,120.421,289.873,960.191,13.865,172.88,60.977,119.383,109.036,4323.026,4730.042,25.681,975.517,61.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarrif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YTAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83753,0,0,0,0,0,0,0,0
"S-I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450504.259951868,15659.9100481319,2853.031,0,0,0,0,0,-60976.134
"ROW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.461,49.107,8.433,34799.845,311.429,14899.615,79090.767,19596.154,17205.673,31369.194,75.888,25424.15,6665.69,16529.933,9272.046,20981.316,56878.254,15144.794,28002.39,3701.578,26348.618,10276.153,6883.548,16519.914,55930.046,24.555,643.968,550.014,2611.497,14420.945,4573.149,872.642,59166.329,2139.158,10608.941,4.522,0,0,0,0,0,0,0,0,0,0,0,0
