"","ELEC-a","GASHeat-a","Oil-a","Coal-a","EINT-a","NEINT-a","AGRI-a","Household","Total"
"ELEC-c",0,0,0,0,0,0,0,0,0
"GASHeat-c",439.088281241609,42.6574263589673,0.537518763429977,0.0195874212836567,47.4039050065773,188.830476334447,0.186791637871916,170.749489936343,889.473476700529
"Oil-c",104.614951017489,16.3001868153483,48.1187476799913,0.868087511448966,778.36769439974,517.172846221318,42.5033852557232,289.269244226832,1797.21514312789
"Coal-c",1884.08974722416,57.0685293087224,0,0.314971557646765,860.532230772902,23.9049475842933,11.0072492714689,8.65266860080649,2845.57034432
"process",0.178808829361642,0,0,0,316.320921567638,449.2166819444,212.571019222,0,978.2874315634
"Total",2427.97178831262,116.026142483038,48.6562664434213,1.20264649037939,2002.62475174686,1179.12495208446,266.268445387064,468.671402763981,6510.54639571182
