,CoalT,AnthraT,AnthraD,AnthraIm,BituT,BituCoke,BituSteam,PetroT,PetroENG,Gasoline,Kerosene,Diesel,BA,BB,BC,JA1,JP4,AVIG,LPG,Propane,Butane,PetroNENG,Naphta,Solvent,Asphalt,Lubricant,ParaWax,PetroCoke,OtherProd,LNG,TownGas,Hydro,Nuclear,Elect,Heat,Renewable,TotalE
ProdDom,969,969,969,,,,,,,,,,,,,,,,,,,,,,,,,,,451,,1715,32285,,,6618,42039
Import,79861,5775,,5775,74086,18310,55776,173875,101319,15722,4916,42190,468,81,21501,16439,,2,9497,4638,4858,63059,49095,507,3867,2860,17,256,6457,47690,,,,,,,301425
PetroPro,,,,,,,,139518,98699,15722,4857,42053,468,81,19079,16439,,,1890,885,1005,38929,24969,502,3867,2860,17,256,6457,,,,,,,,139518
PetroIm,,,,,,,,34357,2620,,58,137,,,2423,,,2,7607,3753,3853,24130,24125,5,,,,,,,,,,,,,34357
Export,,,,,,,,-57541,-47649,-6807,-1254,-22903,-6,,-5379,-11301,,,-90,-72,-18,-9802,-4529,-27,-2287,-1970,,-5,-984,,,,,,,,-57541
IntBunk,,,,,,,,-7522,-7522,,,-412,-80,,-5758,-1273,,,,,,,,,,,,,,,,,,,,,-7522
Stock_d,513,513,472,41,,,,84,49,81,81,130,-6,1,-184,-53,,-2,-53,-25,-28,87,32,12,64,-26,-1,9,-2,-800,,,,,,,-204
f_Stock,1323,1323,1245,79,,,,5814,3996,489,421,1196,36,7,1534,314,,0,266,137,129,1553,1160,33,123,156,2,10,70,3520,,,,,,,10657
e_Stock,-811,-811,-773,-37,,,,-5730,-3947,-407,-340,-1066,-42,-6,-1717,-367,,-2,-319,-162,-157,-1465,-1127,-21,-59,-183,-3,-1,-71,-4320,,,,,,,-10861
Diff,2298,-358,-399,41,2656,3923,-1268,-3750,-1902,-148,-185,297,-50,114,-2075,143,,2,949,-327,1277,-2797,860,-128,21,-363,0,-55,-3133,-1057,,,,,,,-2510
P_con,83640,6898,1041,5857,76741,22233,54508,105146,44296,8849,3558,19302,327,196,8107,3955,,2,10303,4214,6089,50547,45458,364,1665,501,16,204,2338,46284,,1715,32285,,,6618,275688
Transform,-50096,-252,-252,,-49844,,-49844,-3169,-2497,0,-50,-88,0,,-2358,,,,-634,-633,0,-39,,,,,,,-39,-45483,22871,-1715,-32285,39136,1702,-784,-69824
E_Gene,-50096,-252,-252,,-49844,,-49844,-2254,-2227,0,-50,-86,,,-2090,,,,0,0,,-27,,,,,,,-27,-19186,-928,-1715,-32285,42655,1096,-784,-63499
Heating,,,,,,,,-269,-268,,0,0,0,,-268,,,,0,0,,0,,,,,,,0,-2288,-413,,,,666,,-2304
Gas_Manu,,,,,,,,-646,-1,,0,-1,,,,,,,-633,-633,0,-12,,,,,,,-12,-23731,23977,,,,,,-401
OwnUse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-278,236,,,-3519,-60,,-3621
F_con,33544,6646,789,5857,26898,22233,4664,101976,41799,8848,3507,19215,327,196,5748,3955,,2,9670,3581,6089,50507,45458,364,1665,501,16,204,2299,801,22871,,,39136,1702,5834,205864
Ind,32673,5775,,5775,26898,22233,4664,59635,6611,198,595,2889,118,126,2684,0,,0,2717,1798,919,50307,45458,316,1665,501,16,175,2175,801,8384,,,20830,,4564,126886
AFF,,,,,,,,2168,2163,137,287,1614,30,52,43,,,,3,3,0,2,,0,,,,,2,,4,,,909,,,3082
Min,,,,,,,,95,83,0,8,49,9,7,11,,,,2,2,,9,,0,,,,4,5,,,,,166,,,260
Manu,26898,,,,26898,22233,4664,54822,3500,42,253,517,46,41,2600,0,,0,2696,1777,919,48626,45458,314,,501,16,171,2165,801,8379,,,19754,,,110654
Food,30,,,,30,,30,217,179,0,17,10,2,6,144,,,,19,16,3,19,,,,,,,19,,660,,,797,,,1704
Textile,103,,,,103,,103,270,254,3,30,6,1,5,208,,,,3,3,0,13,,6,,,,,7,,588,,,1099,,,2060
Wood,,,,,,,,28,26,1,4,8,1,0,12,,,,0,0,,2,,1,,,,,0,,49,,,153,,,230
PPP,,,,,,,,222,212,0,9,7,0,5,190,,,,3,3,0,7,,4,,,,,3,,403,,,886,,,1510
PetChem,131,,,,131,,131,50497,968,0,26,74,2,3,864,,,,1941,1137,804,47587,45458,245,,,14,,1870,467,2207,,,4140,,,57442
NonMetal,3129,,,,3129,,3129,878,642,0,5,98,2,7,530,,,,26,26,0,211,,0,,,,170,40,,474,,,1017,,,5498
IS,22233,,,,22233,22233,,231,152,,1,5,0,1,145,,,,76,49,27,3,,1,,,,1,2,334,1392,,,3975,,,28167
Nonferr,,,,,,,,81,60,,0,3,1,1,55,,,,16,16,0,6,,1,,,,,5,,257,,,,,,338
FabMetal,,,,,,,,588,507,30,33,183,31,4,225,0,,0,57,52,5,24,,4,,,,,20,,1655,,,7474,,,9717
Other_Manu,1271,,,,1271,,1271,1092,439,7,128,118,5,10,170,,,0,508,431,77,145,,48,,,,,97,,695,,,213,,,3271
Other_E,,,,,,,,718,62,0,1,3,0,0,58,,,,47,44,3,609,,4,,501,2,,102,,,,,,,,718
Const,,,,,,,,2550,864,18,46,710,33,26,30,,,,16,16,0,1670,,1,1665,,,,3,,1,,,,,,2551
Transport,,,,,,,,35172,30124,8578,12,15080,181,40,2784,3448,,0,5036,1,5034,12,,0,,,,7,5,,1174,,,193,,336,36875
Rail_t,,,,,,,,177,177,,0,177,,,,,,,0,0,,0,,,,,,,0,,,,,193,,,371
Land_t,,,,,,,,28162,23115,8578,11,14510,6,1,9,,,,5035,0,5034,11,,0,,,,7,5,,1174,,,,,336,29672
Water_t,,,,,,,,3366,3365,,0,385,174,37,2769,,,,0,0,,0,,0,,,,,,,,,,,,,3366
Air_t,,,,,,,,3467,3466,0,0,8,1,2,6,3448,,0,1,1,,1,,,,,,,1,,,,,,,,3467
Residential,871,871,789,83,,,,3735,2750,13,2048,519,2,3,165,,,,926,899,28,58,,37,,,,,21,,10125,,,5295,1512,84,21621
Commercial,,,,,,,,2194,1117,19,770,187,19,25,98,0,,0,967,860,108,110,,10,,,,22,78,,3076,,,10463,149,38,15921
Public,,,,,,,,1240,1197,40,82,540,6,3,17,506,,2,23,23,0,20,,1,,,,,20,,112,,,2355,41,811,4560
