,CoalT,AnthraT,AnthraD,AnthraIm,BituT,BituCoke,BituSteam,PetroT,PetroENG,Gasoline,Kerosene,Diesel,BA,BB,BC,JA1,JP4,AVIG,LPG,Propane,Butane,PetroNENG,Naphta,Solvent,Asphalt,Lubricant,ParaWax,PetroCoke,OtherProd,LNG,TownGas,Hydro,Nuclear,Elect,Heat,Renewable,TotalE
ProdDom,1342,1342,1342,,,,,,,,,,,,,,,,,,,,,,,,,,,353,,1084,30731,,,4828,38338
Import,54237,3566,,3566,50671,12869,37802,159298,95180,9948,4043,36540,509,117,29264,14759,,,9543,4123,5420,54574,43580,616,3854,2545,21,197,3761,33239,,,,,,,246773
PetroPro,,,,,,,,133828,94068,9948,3971,36430,509,117,28334,14759,,,3586,941,2644,36175,25181,616,3854,2545,21,197,3761,,,,,,,,133828
PetroIm,,,,,,,,25469,1113,,72,110,,,930,,,,5957,3182,2775,18399,18399,,,,,,,,,,,,,,25469
Export,,,,,,,,-41709,-33726,-1951,-175,-14816,,,-6721,-10065,,,-54,-32,-22,-7929,-3766,,-2047,-1825,,-36,-254,,,,,,,,-41709
IntBunk,,,,,,,,-7738,-7738,,,-617,-63,,-5876,-1182,,,,,,,,,,,,,,,,,,,,,-7738
Stock_d,654,654,516,138,,,,253,-37,-15,154,-253,10,-3,212,-142,,,190,140,51,100,131,-4,-21,-7,,-2,4,1088,,,,,,,1995
f_Stock,2674,2674,2354,320,,,,6453,4296,410,662,1214,44,4,1653,310,,,500,325,175,1657,1364,14,66,183,1,3,27,2517,,,,,,,11645
e_Stock,-2020,-2020,-1838,-182,,,,-6200,-4333,-425,-508,-1467,-34,-7,-1441,-452,,,-310,-186,-124,-1557,-1233,-18,-87,-190,-1,-5,-23,-1429,,,,,,,-9650
Diff,3421,24,19,5,3397,2194,1203,-4609,-2941,-32,-361,55,-128,126,-2867,266,,,448,-422,870,-2116,606,-122,-71,-169,,-41,-2320,-17,,,,,,,-1205
P_con,59654,5585,1876,3709,54068,15063,39005,105494,50738,7949,3662,20909,328,240,14012,3637,,,10127,3809,6318,44629,40552,490,1714,543,21,119,1190,34663,,1084,30731,,,4828,236454
Transform,-35404,-1003,-1003,,-34402,,-34402,-4872,-4791,,-118,-26,,,-4647,,,,-75,-74,-1,-6,,,,,,,-6,-34663,18955,-1084,-30731,31700,1438,-337,-54999
E_Gene,-35404,-1003,-1003,,-34402,,-34402,-4418,-4412,,-108,-26,,,-4278,,,,,,,-6,,,,,,,-6,-14684,-27,-1084,-30731,34669,852,-337,-51166
Heating,,,,,,,,-379,-379,,-10,,,,-369,,,,,,,,,,,,,,,-821,-209,,,,752,,-656
Gas_Manu,,,,,,,,-75,-1,,,-1,,,,,,,-75,-74,-1,,,,,,,,,-18975,18764,,,,,,-286
OwnUse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-183,427,,,-2969,-166,,-2891
F_con,24249,4583,874,3709,19666,15063,4603,100622,45946,7949,3544,20883,328,240,9365,3637,,,10052,3735,6318,44623,40552,490,1714,543,21,119,1184,,18955,,,31700,1438,4491,181455
Ind,23235,3569,3,3566,19666,15063,4603,56150,9168,205,613,3019,135,161,5035,,,,2578,1580,998,44404,40552,456,1714,543,21,98,1020,,5225,,,16018,,3699,104327
AFF,,,,,,,,2542,2536,164,330,1846,45,70,81,,,,2,2,,4,,,,,,,4,,2,,,670,,,3214
Min,,,,,,,,79,71,,7,41,6,3,14,,,,3,3,,4,,,,,,,3,,,,,128,,,206
