,CoalT,AnthraT,AnthraD,AnthraIm,BituT,BituCoke,BituSteam,PetroT,PetroENG,Gasoline,Kerosene,Diesel,BA,BB,BC,JA1,JP4,AVIG,LPG,Propane,Butane,PetroNENG,Naphta,Solvent,Asphalt,Lubricant,ParaWax,PetroCoke,OtherProd,LNG,TownGas,Hydro,Nuclear,Elect,Heat,Renewable,TotalE
OwnUse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-286,176,,,-3365,-85,,-3561
F_con,23895,5180,816,4364,18715,14514,4201,98369,41893,8377,3531,19016,307,198,6811,3653,,0,10840,3973,6867,45636,41290,404,1965,721,17,88,1152,,19459,,,33925,1551,4867,182066
Ind,22955,4240,4,4236,18715,14514,4201,56391,7432,199,583,2773,107,129,3642,0,,0,3478,2050,1428,45480,41290,376,1965,721,17,87,1026,,5891,,,17006,,3876,106119
AFF,,,,,,,,2244,2238,147,288,1636,41,56,71,,,,1,1,0,5,,0,,,,,5,,4,,,786,,,3035
Min,,,,,,,,80,74,0,9,41,6,4,14,,,,2,2,,4,,1,,,,,3,,,,,116,,,196
Manu,18715,,,,18715,14514,4201,51294,4338,39,249,442,38,54,3515,0,,0,3453,2025,1428,43503,41290,375,,721,17,87,1015,,5886,,,16103,,,91999
Food,30,,,,30,,30,369,281,0,21,10,2,10,239,,,,17,17,0,71,,0,,,,,71,,515,,,687,,,1601
Textile,88,,,,88,,88,441,414,0,23,13,1,3,374,,,,3,3,0,24,,10,,,,,14,,447,,,993,,,1967
Wood,,,,,,,,32,30,1,4,7,0,0,17,,,,1,1,,2,,1,,,,,1,,63,,,137,,,231
PPP,,,,,,,,498,484,0,11,8,1,4,460,,,,5,5,,9,,5,,,,,4,,235,,,827,,,1559
PetChem,116,,,,116,,116,46266,1182,0,19,72,1,5,1085,,,,2771,1478,1293,42313,41290,287,,,15,,722,,1077,,,3445,,,50905
NonMetal,2767,,,,2767,,2767,833,685,0,6,91,2,10,576,,,,31,31,0,117,,0,,,,85,32,,442,,,966,,,5008
IS,14514,,,,14514,14514,,269,228,,0,3,0,1,223,,,,34,10,23,8,,0,,,,2,5,,1239,,,3023,,,19045
Nonferr,,,,,,,,85,61,,0,3,1,1,56,,,,17,17,0,7,,1,,,,,5,,220,,,,,,305
FabMetal,,,,,,,,527,441,29,32,127,26,6,220,0,,0,62,57,6,24,,3,,,,,21,,1154,,,5839,,,7520
Other_Manu,1200,,,,1200,,1200,1070,473,6,132,105,5,14,211,,,,512,407,105,85,,55,,,,,31,,496,,,187,,,2953
Other_E,,,,,,,,903,60,0,1,4,,0,54,,,,0,0,,843,,11,,721,2,,110,,,,,,,,903
Const,,,,,,,,2772,782,13,36,655,22,14,42,,,,21,21,,1968,,0,1965,,,,3,,0,,,,,,2772
Transport,,,,,,,,34529,29193,8105,7,14976,152,38,2740,3174,,0,5332,1,5331,4,,1,,,,,3,,960,,,187,,254,35930
Rail_t,,,,,,,,201,200,,0,200,,,,,,,0,0,,0,,,,,,,0,,,,,187,,,388
Land_t,,,,,,,,27816,22482,8105,6,14349,4,0,17,,,,5331,0,5331,3,,1,,,,,2,,960,,,,,254,29030
Water_t,,,,,,,,3321,3320,,0,419,147,37,2717,,,,0,0,,0,,0,,,,,,,,,,,,,3321
Air_t,,,,,,,,3191,3191,0,1,8,1,1,7,3174,,0,0,0,,0,,,,,,,0,,,,,,,,3191
Residential,940,940,812,128,,,,3860,2857,6,2007,565,3,8,267,,,,970,931,39,33,,16,,,,,16,,9267,,,4953,1388,129,20537
Commercial,,,,,,,,2327,1193,20,832,139,39,20,143,0,,0,1037,968,69,97,,10,,,,1,85,,3065,,,9640,120,33,15185
Public,,,,,,,,1263,1218,46,102,562,6,3,19,479,,0,23,23,0,23,,1,,,,,21,,277,,,2138,42,575,4295
