,CoalT,AnthraT,AnthraD,AnthraIm,BituT,BituCoke,BituSteam,PetroT,PetroENG,Gasoline,Kerosene,Diesel,BA,BB,BC,JA1,JP4,AVIG,LPG,Propane,Butane,PetroNENG,Naphta,Solvent,Asphalt,Lubricant,ParaWax,PetroCoke,OtherProd,LNG,TownGas,Hydro,Nuclear,Elect,Heat,Renewable,TotalE
ProdDom,1171,1171,1171,,,,,,,,,,,,,,,,,,,,,,,,,,,498,,1213,31771,,,5480,40133
Import,63431,4236,,4236,59194,13687,45507,160144,93139,13823,4558,37775,439,75,22189,14279,,0,10490,4590,5900,56515,43501,603,4408,3327,17,166,4493,33568,,,,,,,257143
PetroPro,,,,,,,,126850,89884,13823,4549,37655,435,75,19068,14279,,,3656,1436,2219,33310,20357,598,4408,3271,17,166,4493,,,,,,,,126850
PetroIm,,,,,,,,33294,3255,,9,120,4,,3121,,,0,6834,3153,3680,23205,23144,5,,56,,,,,,,,,,,33294
Export,,,,,,,,-46758,-37633,-5111,-759,-18053,,,-3997,-9712,,,-12,-12,0,-9113,-3400,-1,-2495,-2685,,-33,-499,,,,,,,,-46758
IntBunk,,,,,,,,-6985,-6985,,,-483,-54,,-5510,-938,,,,,,,,,,,,,,,,,,,,,-6985
Stock_d,261,261,258,3,,,,345,199,-70,14,160,1,0,67,28,,0,37,18,19,109,186,-3,6,-62,0,0,-19,1144,,,,,,,1749
f_Stock,1323,1323,1245,79,,,,5593,3712,337,337,1233,39,6,1454,305,,0,265,148,117,1616,1252,13,108,198,1,5,38,3390,,,,,,,10306
e_Stock,-1063,-1063,-987,-76,,,,-5248,-3513,-407,-323,-1073,-39,-6,-1388,-277,,0,-228,-130,-98,-1507,-1066,-16,-101,-260,-1,-5,-58,-2246,,,,,,,-8557
Diff,3741,144,19,125,3597,827,2771,-4410,-3113,-263,-177,-363,-79,123,-2351,-4,,0,564,-385,949,-1861,1002,-195,46,140,0,-45,-2808,-1303,,,,,,,-1927
P_con,68604,5812,1448,4364,62792,14514,48278,102336,45607,8378,3636,19036,307,198,10398,3653,,0,11079,4211,6868,45651,41290,404,1965,721,17,88,1167,33908,,1213,31771,,,5480,243311
Transform,-44709,-632,-632,,-44076,,-44076,-3967,-3714,-1,-105,-20,0,,-3587,,,,-238,-238,-1,-14,,,,,,,-14,-33908,19459,-1213,-31771,33925,1551,-613,-61245
E_Gene,-44709,-632,-632,,-44076,,-44076,-3417,-3402,-1,-98,-20,0,,-3283,,,,-1,-1,,-14,,,,,,,-14,-12617,-159,-1213,-31771,37290,953,-613,-56256
Heating,,,,,,,,-311,-311,,-7,0,,,-304,,,,,,,,,,,,,,,-681,-855,,,,683,,-1164
Gas_Manu,,,,,,,,-239,-1,,0,-1,,,,,,,-238,-237,-1,0,,,,,,,0,-20324,20298,,,,,,-265
