,CoalT,AnthraT,AnthraD,AnthraIm,BituT,BituCoke,BituSteam,PetroT,PetroENG,Gasoline,Kerosene,Diesel,BA,BB,BC,JA1,JP4,AVIG,LPG,Propane,Butane,PetroNENG,Naphta,Solvent,Asphalt,Lubricant,ParaWax,PetroCoke,OtherProd,LNG,TownGas,Hydro,Nuclear,Elect,Heat,Renewable,TotalE
ProdDom,969,969,969,,,,,,,,,,,,,,,,,,,,,,,,,,,539,,1391,31948,,,6064,40912
Import,72576,4851,,4851,67726,17030,50696,164689,95696,14221,5458,38725,467,78,22032,14715,,1,10547,4969,5578,58445,45858,608,4609,2634,20,188,4529,42384,,,,,,,279649
PetroPro,,,,,,,,130463,92789,14221,5412,38616,467,78,19281,14715,,,3371,1541,1830,34302,21721,602,4609,2634,20,188,4529,,,,,,,,130463
PetroIm,,,,,,,,34226,2907,,46,109,,,2751,,,1,7176,3428,3748,24143,24137,6,,,,,,,,,,,,,34226
Export,,,,,,,,-48224,-38684,-5003,-904,-18814,,,-4024,-9939,,,-89,-89,0,-9451,-4110,0,-2917,-1911,,-16,-498,,,,,,,,-48224
IntBunk,,,,,,,,-7569,-7569,,,-503,-76,,-5887,-1104,,,,,,,,,,,,,,,,,,,,,-7569
Stock_d,187,187,160,27,,,,-525,-483,-81,-98,-123,3,-1,-146,-36,,0,-38,-7,-31,-5,-65,-9,-19,103,-1,-3,-12,-1194,,,,,,,-1532
f_Stock,1063,1063,987,76,,,,5247,3513,407,323,1073,39,6,1388,277,,0,228,130,98,1507,1066,16,101,260,1,5,58,2273,,,,,,,8583
e_Stock,-876,-876,-827,-48,,,,-5773,-3996,-489,-421,-1196,-36,-7,-1534,-314,,0,-265,-136,-129,-1512,-1131,-25,-121,-156,-2,-8,-70,-3467,,,,,,,-10116
Diff,2164,135,38,97,2029,822,1208,-4070,-2541,-369,-349,87,-91,129,-2232,285,,0,504,-413,917,-2033,783,-56,77,-56,0,-47,-2733,1279,,,,,,,-627
P_con,75896,6141,1166,4975,69755,17851,51904,104301,46420,8767,4107,19373,303,206,9743,3921,,1,10924,4461,6464,46956,42467,543,1749,770,19,122,1286,43008,,1391,31948,,,6064,262609
Transform,-47928,-390,-390,,-47538,,-47538,-3920,-3418,-1,-98,-35,,,-3284,,,,-477,-476,0,-25,,,,,,,-25,-43008,21081,-1391,-31948,37338,1718,-718,-68777
E_Gene,-47928,-390,-390,,-47538,,-47538,-3125,-3099,-1,-91,-34,,,-2973,,,,0,0,,-25,,,,,,,-25,-19043,-922,-1391,-31948,40811,1073,-718,-63191
Heating,,,,,,,,-317,-317,,-6,0,,,-311,,,,,,,,,,,,,,,-847,-1157,,,,713,,-1609
Gas_Manu,,,,,,,,-478,-1,,0,-1,,,,,,,-476,-476,0,0,,,,,,,,-22842,22280,,,,,,-1040
OwnUse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-276,881,,,-3474,-68,,-2937
F_con,27968,5751,776,4975,22217,17851,4366,100381,43002,8766,4009,19338,303,206,6459,3921,,1,10448,3984,6463,46931,42467,543,1749,770,19,122,1260,,21081,,,37338,1466,5346,193832
Ind,27068,4851,,4851,22217,17851,4366,57351,7414,192,697,2925,116,134,3350,0,,0,3198,2112,1086,46739,42467,469,1749,770,19,118,1146,,7329,,,19193,,4215,115155
AFF,,,,,,,,2333,2326,138,326,1702,42,59,58,,,,3,3,,4,,0,,,,,4,,5,,,864,,,3201
Min,,,,,,,,95,87,0,12,48,7,6,14,,,,3,3,,5,,0,,,,,4,,0,,,145,,,240
Manu,22217,,,,22217,17851,4366,52300,4152,40,312,467,38,48,3246,0,,0,3173,2087,1086,44975,42467,467,,770,19,118,1135,,7324,,,18184,,,100026
Food,31,,,,31,,31,333,232,0,23,13,1,6,188,,,,20,20,0,81,,,,,,,81,,598,,,751,,,1713
Textile,97,,,,97,,97,395,374,0,26,6,1,4,336,,,,4,4,0,17,,8,,,,,8,,540,,,1063,,,2095
Wood,,,,,,,,36,33,1,5,8,0,0,19,,,,0,0,,3,,2,,,,,1,,53,,,151,,,240
PPP,,,,,,,,395,381,0,12,8,1,5,355,,,,4,4,,9,,6,,,,,3,,304,,,862,,,1560
PetChem,129,,,,129,,129,47198,1146,1,23,74,1,4,1043,,,,2372,1436,936,43680,42467,364,,,17,,833,,1648,,,3716,,,52692
NonMetal,2830,,,,2830,,2830,891,708,1,8,91,2,9,597,,,,34,34,0,149,,0,,,,114,34,,456,,,999,,,5176
IS,17851,,,,17851,17851,,278,204,,3,5,0,1,196,,,,67,40,27,6,,1,,,,3,2,,1460,,,3598,,,23187
Nonferr,,,,,,,,89,63,,0,3,0,1,58,,,,19,19,0,6,,1,,,,,5,,206,,,,,,294
FabMetal,,,,,,,,551,461,31,41,143,25,6,214,0,,0,62,56,6,28,,6,,,,,23,,1364,,,6836,,,8751
Other_Manu,1279,,,,1279,,1279,1193,495,6,170,112,6,11,189,,,,590,474,116,109,,72,,,,,37,,694,,,208,,,3375
Other_E,,,,,,,,941,55,0,1,3,0,1,50,,,,0,0,,887,,6,,770,2,,109,,,,,,,,941
Const,,,,,,,,2623,850,13,47,709,29,20,32,,,,18,18,,1755,,2,1749,,,,3,,0,,,,,,2624
Transport,,,,,,,,35282,29984,8498,11,15134,159,43,2700,3438,,0,5294,1,5293,4,,0,,,,,3,,1112,,,188,,357,36938
Rail_t,,,,,,,,195,195,,0,195,,,,,,,,,,0,,,,,,,0,,,,,188,,,383
Land_t,,,,,,,,28352,23056,8498,10,14519,5,2,21,,,,5293,0,5293,3,,0,,,,,2,,1112,,,,,357,29820
Water_t,,,,,,,,3282,3282,,0,415,154,40,2673,,,,0,0,,0,,0,,,,,,,,,,,,,3282
Air_t,,,,,,,,3453,3452,0,1,5,0,1,6,3438,,0,1,1,,1,,,,,,,1,,,,,,,,3453
Residential,901,901,776,124,,,,4053,3011,9,2228,516,2,5,253,,,,957,928,29,85,,58,,,,,27,,9847,,,5263,1531,72,21666
Commercial,,,,,,,,2397,1339,21,969,172,19,21,136,,,0,973,917,56,85,,15,,,,4,66,,2642,,,10373,145,33,15589
Public,,,,,,,,1299,1254,46,104,590,7,4,20,483,,0,26,26,0,19,,1,,,,,18,,152,,,2321,42,669,4483
