"","io","TC","dairy","meat","pork","poultry","misslstock"
"123",123,"oinput",0.010983393,0.003888096,0,0,0
"124",124,"oinput",0.079898452,0.006788467,0.174603813,0.041839975,0.015958569
"125",125,"oinput",0.00562392,0.002180988,0.00080495,0.002827579,0.000863144
"126",126,"oinput",0,9.70597e-05,0.000362228,0,0
"127",127,"oinput",0,0.000125607,0.002284047,0,0
"128",128,"oinput",0,0,0,0,0
"129",129,"oinput",0,0,0.000633898,0,0
"130",130,"oinput",0,9.70597e-05,0.000342104,0,0
"131",131,"oinput",0.000493636,0.000725093,0.001458973,0,0
"132",132,"oinput",0.162018265,0.171481587,0.006640841,0.062473107,0.003490937
"133",133,"oinput",0,0.000742221,0.004054938,0.012273333,0.002800422
"134",134,"oinput",0,0.000599486,0.003129245,0.009568692,0.002205812
"135",135,"oinput",0,0,0,0,0
"136",136,"oinput",0.000881492,0.000964887,0.004608341,0.011925008,0.002877146
"137",137,"oinput",0.001463277,0.001575792,0.000332042,0.001249872,0.022595186
"138",138,"oinput",0,0.00263203,0.002072747,0,0
"139",139,"oinput",0.000828603,0.002363688,0.010655532,0.00344227,0
"140",140,"oinput",0,0,0,0,0
"141",141,"oinput",0,0,0,0,0
"142",142,"oinput",0,0,0,0,0.134266807
"143",143,"oinput",0,0,0,0,0.160487197
"144",144,"oinput",0,0,0,0,0
"145",145,"oinput",0,0,0,0,0
"146",146,"oinput",0,0,0,0,0
"147",147,"oinput",0,0,0,0,0
"148",148,"oinput",0,0,0,0,0
"149",149,"oinput",0,0,0,0,0
"150",150,"oinput",0,0,0,0,0
"151",151,"oinput",0,0.000211248,0.008753836,0.002233378,0.002263355
"152",152,"oinput",0,0,0,0,0
"153",153,"oinput",0,0,0,0,0
"154",154,"oinput",0,0,0,0,0
"155",155,"oinput",0,0,0,0,0
"156",156,"oinput",0,0,0,0,0
"157",157,"oinput",0,0,0,0,0
"158",158,"oinput",0,0,0,0,0
"159",159,"oinput",0,0,0,0,0
"160",160,"oinput",0.100578259,0.156894091,0.023695729,0.009732609,0.027524696
"161",161,"oinput",0,0,0,0,0
"162",162,"oinput",0,0,0,0,0
"163",163,"oinput",0,0,0,0,0
"164",164,"oinput",0,0,0,0,0
"165",165,"oinput",0.001251719,0.000536683,0.004266237,0.00555271,0
"166",166,"oinput",0.003578858,0.005469597,0.0018212,0,0
"167",167,"oinput",0,0,0,0,0
"168",168,"oinput",0.000634674,0.000919212,0.000603713,0,0
"169",169,"oinput",0,0,0,0,0
"170",170,"oinput",0,0,0,0,0
"171",171,"oinput",0,0,0,0,0
"172",172,"oinput",0,0,0,0,0
"173",173,"oinput",0,0,0,0,0
"174",174,"oinput",0,0,0,0,0
"175",175,"oinput",0,0,0,0,0
"176",176,"oinput",0,0,0,0,0
"177",177,"oinput",0,0,0,0,0
"178",178,"oinput",0,0,0,0,0
"179",179,"oinput",0,0,0,0,0
"180",180,"oinput",0,0.00037682,0.000684208,0.002417785,0
"181",181,"oinput",0,0.00225521,0.007284802,0,0
"182",182,"oinput",0,0.000148444,0,0,0
"183",183,"oinput",0,0,0,0,0
"184",184,"oinput",0,0,0,0,0
"185",185,"oinput",0.00222136,0.003585498,0.000684208,0.003688147,0
"186",186,"smach",0,0.026634383,0,0,0
"187",187,"smach",0,0.011622276,0.049476689,0.08356546,0
"188",188,"smach",0.283737024,0.075544794,0.460513796,0.317548747,0
"189",189,"smach",0.607266436,0.726392252,0.128449096,0.21448468,0.034270312
"190",190,"smach",0,0.017433414,0,0.128133705,0
"191",191,"smach",0.10899654,0.142372881,0.361560419,0.256267409,0.033500193
"192",192,"oinput",0,0,0,0,0
"193",193,"oinput",0.017982441,0.070311162,0.006439604,0.003380801,0
"194",194,"oinput",0.001004901,0.00037111,0.000734517,0.001085954,0
"195",195,"oinput",0.019057861,0.027336569,0.00080495,0.001147423,0
"196",196,"oinput",0,0,0,0,0
"197",197,"oinput",0,0,0.003582029,0.001065465,0
"198",198,"oinput",0.002908924,0.004059378,0.005101373,0.010244852,0
"199",199,"oinput",0,0,0,0,0
"200",200,"oinput",0,0,0.000764703,0,0
"201",201,"lmach",0.865117339,0.805931384,0.605198607,0.695229523,0.983285917
"202",202,"oinput",0,0,0,0,0
"203",203,"oinput",0,0,0,0,0
"204",204,"oinput",0,0,0,0,0
"205",205,"oinput",0,0,0,0,0
"206",206,"oinput",0,0,0,0,0
"207",207,"oinput",0,0,0,0,0
"208",208,"oinput",0.000758083,0,0,0,0
"209",209,"oinput",0,0,0,0,0
"210",210,"oinput",0,0,0,0,0
"211",211,"oinput",0,0,0,0,0
"212",212,"oinput",0,0,0,0,0
"213",213,"oinput",0,0,0,0,0
"214",214,"oinput",0,0,0.006067314,0.0013933,0
"215",215,"oinput",0,0,0,0,0
"216",216,"oinput",0,0,0,0,0
"217",217,"oinput",0,0,0.001328168,0,0
"218",218,"oinput",0,0,0.002273985,0,0
"219",219,"oinput",0.000634674,0.000959178,0.00048297,0,0
"220",220,"oinput",0.004724798,0.006685698,0.005483725,0.006372298,0
"221",221,"oinput",0.002908924,0.002477876,0.003712834,0.001700645,0
"222",222,"oinput",0.010895243,0.019217813,0.01664235,0.006413277,0
"223",223,"oinput",0.002609217,0.001775621,0.003451225,0.004323328,0
"224",224,"oinput",0,0,0,0,0
"225",225,"oinput",0,0,0,0,0
"226",226,"oinput",0,0,0,0,0
"227",227,"oinput",0,0,0,0,0
"228",228,"oinput",0,0,0,0,0
"229",229,"oinput",0,0,0,0,0
"230",230,"oinput",0,0.000199829,0.00080495,0,0
"231",231,"oinput",0,0,0,0,0
"232",232,"oinput",0,0,0,0,0
"233",233,"oinput",0,0,0,0,0
"234",234,"oinput",0,0,0,0,0
"235",235,"oinput",0,0.000491008,0.00198219,0.002540723,0
"236",236,"oinput",0,0,0,0,0
"237",237,"oinput",0,0,0,0,0
"238",238,"oinput",0,0,0,0,0
"239",239,"oinput",0,6.28033e-05,8.0495e-05,0,0
"240",240,"oinput",0.007457424,0.002700542,0,0,0
"241",241,"oinput",0,0,0,0,0
"242",242,"oinput",0.001498537,0.006548673,0.002928007,0.00344227,0
