"","Group.1","rice_piece_new","Barley_piece_new"
"1","Air-c",547.822362793775,14.1776362790347
"2","Auto-c",397.145652312804,4.85429914811264
"3","Barley-c",49218.5395968707,6527.45912244342
"4","Bean-c",0,0
"5","Capital",4938301.4964324,132024.50228243
"6","Cement-c",77.99998752,69.999997896
"7","Chemistry-c",632757.343188175,16639.6567580763
"8","Coal-c",0,0
"9","CoalPro-c",0,0
"10","Commercial-c",927466.531084159,20685.4680590754
"11","Const-c",15414.7803411829,684.219656313903
"12","Dairy-c",2339.999959752,195.000002064
"13","Diesel-c",76226.3007834735,3707.69924859944
"14","ELEC-c",30533.6847329627,827.315155322586
"15","Electronics-c",123.046345036459,2.95367454155938
"16","FF-c",4387.99996908,268.000002144
"17","FiberLeather-c",33416.0958813026,1236.90425190467
"18","Flower-c",23.3835546991257,0.616418255852435
"19","Food-c",733.78775928488,25.2121970015987
"20","Fruit-c",0,0
"21","Fueloil-c",3088.37749708645,80.6224620106438
"22","GAS-c",1806.99974659341,46.0002642084037
"23","Gasoline-c",10062.4995387012,274.500500732822
"24","HEAT-c",0,0
"25","Housing-c",0,0
"26","IS-c",0,0
"27","Jetoil-c",0,0
"28","Kerosene-c",1500.37733682442,38.6226690103566
"29","Labor",255831.758134548,10676.2415663704
"30","LNG-c",0,0
"31","LPG-c",1249.21143730151,119.788541896594
"32","Machine-c",35691.2203605946,874.779664565956
"33","Marine-c",2431.47757108888,83.5223524456348
"34","Meat-c",10190.99999736,507.999998376
"35","Mineral-c",0,0
"36","Mining-c",0,0
"37","MissCrop-c",0,0
"38","MissLstock-c",3222.999961272,479.000001384
"39","MissManu-c",202279.546372876,5328.45388152138
"40","MissTrans-c",47709.1550413477,1637.84475739681
"41","nonISmetal-c",0,0
"42","Nres",-9.74317726740777,-0.256841717941254
"43","Oil-c",0,0
"44","Oilpro-c",491.829085708303,10.1709128484968
"45","Pork-c",4176.00001728,906.999999408
"46","Potato-c",0,0
"47","Poultry-c",1643.999994,372.000000672
"48","Ptaxetc",242634.88311199,6708.11703630803
"49","Ptaxin",76576.5472382544,2185.45273774807
"50","Public-c",220.174840928586,2.82525607029917
"51","Rail-c",52.7671653641505,1.23283799395035
"52","Rice-c",6175328.88478968,159521.213929006
"53","Road-c",88173.236094015,2440.76426737015
"54","Semidis-c",670.578994043698,6.42103064068974
"55","Ship-c",7667.999989776,160.000000342
"56","Vegi-c",0,0
"57","Waste-c",685.918456258148,18.0816247797976
"58","WoodPaper-c",15045.7087653645,387.291368705889
