io,TC,rice,barley,bean,potato,vegi,fruit,flower,misscrop,nrice
101,energy,0,0,0,0,0,0,0,0,0
102,energy,0.087035707,0.053442029,0.088227783,0.087472006,0.021678565,0.022489048,0.001506699,0.098115331,0.055901548
103,energy,0,0,0,0,0,0,0,0,0
104,energy,0.007649267,0.004302536,0.007277835,0.007640627,0.564295267,0.000414882,0.005568658,0.118818565,0.028491516
105,energy,0.757945221,0.831748188,0.754596527,0.757475958,0.215509174,0.617637369,0.731371935,0.66649789,0.050382249
106,energy,0.000303542,0,0,0,0.005052117,0.126246171,0.078745213,0.002025316,0.117061346
107,energy,0.002357512,0.021059783,0.002298264,0.002371229,0.002409526,0.003160425,0.00179707,0.009901547,0.03889614
108,energy,0,0,0,0,0,0,0,0,0.001156069
109,energy,0.001042162,0,0.001149132,0.001185615,5.37841E-05,0.001964589,6.13004E-05,0.000562588,0.013425322
110,energy,3.03542E-05,0,0,0,0,8.54169E-05,0,0,0.000186463
111,oinput,0,0,0,0,0,0,0,0,0
112,oinput,0,0,0,0,0,0,0,0,0
113,oinput,0,0,0,0,0,0,0,0,0
114,oinput,0,0,0,0,0,0,0,0,0
115,oinput,0,0,0,0,0,0,0,0,0
116,oinput,0,0,0,0,0,0,0,0,0
117,oinput,0,0,0,0,0,0,0,0,0
118,oinput,0,0,0,0,0,0,0,0,0
119,oinput,0,0,0,0,0,0,0,0,0
120,oinput,0,0,0,0,0,0,0,0,0
121,oinput,0,0,0,0,0,0,0,0,0
122,oinput,0,0,0,0,0,0,0,0,0
123,fert,1,1,1,1,1,1,1,1,0
124,pest,1,1,1,1,1,1,1,1,0
125,oinput,0,0,0,0,0,0,0.000445046,0,0
126,oinput,0,0,0,0,0,0,0,0,0
127,oinput,0,0,0,0,0,0,0,0,0
128,oinput,0,0,0,0,0,0,0,0,0
129,oinput,0,0,0,0,0.000138337,0,0,0,0
130,oinput,0,0,0,0,0,0,0,0,0
131,oinput,0,0,0,0,0,0,0.000142415,0,0
132,oinput,0.307809021,0.047885572,0.172428789,0.24619017,0.312796209,0.130924794,0.373882935,0.042933237,0.022964087
133,oinput,0.040885585,0.026741294,0.096542727,0.030049367,0.010148158,0.017882342,0.089569908,0.042359192,0
134,oinput,0.085775336,0.059908789,0.207436399,0.137583172,0.048921908,0.123637822,0.152935522,0.022988506,0.009711684
135,oinput,0,0,0,0,0.006816105,0,0.04543027,0,0
136,oinput,0.011015945,0.031716418,0.089367254,0.030836374,0.013468255,0.015111971,0.109703778,0.042799738,0.014618108
137,oinput,0.001948215,0,0,0,0,0,0,0,0
138,oinput,0.001077354,0,0,0,0,0.002128513,0,0,0
139,oinput,0.010001436,0,0,0,0.003263738,0.003832268,0,0,0.001264542
140,oinput,0,0,0,0,0,0,0,0,0
141,oinput,0,0,0,0,0,0,0,0,0
142,oinput,0,0,0,0,0,0,0,0,0
143,oinput,0,0,0,0,0,0,0,0,0
144,oinput,0,0,0,0,0,0,0,0,0
145,oinput,0,0,0,0,0,0,0.00039164,0,0
146,oinput,0,0,0,0,0,0,0,0,0
147,oinput,0,0,0,0,0,0,0,0,0
148,oinput,0,0,0,0,0,0,0,0,0
149,oinput,0,0,0,0,0,0,0,0,0
150,oinput,0,0,0,0,0,0,0,0,0
151,oinput,0.00070028,0.014510779,0,0,0.000628496,0.00308658,0,0.004552312,0
152,oinput,0,0,0,0,0,0,0,0,0
153,oinput,0,0,0,0,0,0,0,0,0
154,oinput,0,0,0,0,0,0,0,0,0
155,oinput,0,0,0,0,0,0,0,0,0
156,oinput,0,0,0,0,0,0,0,0,0
157,oinput,0,0,0,0,0,0,0,0,0
158,oinput,0,0,0,0,0,0,0,0,0
159,oinput,0,0,0,0,0,0,0,0,0
160,oinput,0,0,0,0,0,0,0,0,0
161,oinput,0,0,0,0,0,0,0,0,0
162,oinput,0,0,0,0,0,0,0,0,0
163,oinput,0,0,0,0,0,0,0,0,0
164,oinput,0,0,0,0,0,0,0,0,0
165,oinput,0,0,0,0,0.003523334,0.003591571,0.120438281,0,0
166,oinput,0,0,0,0,0,0,0,0,0
167,oinput,0,0,0,0,0,0,0,0,0
168,oinput,0,0,0,0,0.000112719,0.000122708,0.000471748,0,0
169,oinput,0,0,0,0,0,0,0,0,0
170,oinput,0,0,0,0,0,0,0,0,0
171,oinput,0,0,0,0,0,0,0,0,0
172,oinput,0,0,0,0,0,0,0,0,0
173,oinput,0,0,0,0,0,0,0,0,0
174,oinput,0,0,0,0,0,0,0,0,0
175,oinput,0,0,0,0,0,0,0.00272368,0.00234958,0
176,oinput,0,0,0,0,0,0,0,0,0
177,oinput,0,0,0,0,0,0,0,0,0
178,oinput,0,0,0,0,0,0,0,0,0
179,oinput,0,0,0,0,0,0,0,0,0
180,oinput,0,0,0,0,0,0,0.001708976,0,0
181,oinput,0,0,0,0,0.000198113,0,0,0,0
182,oinput,0,0,0,0,0,0,0,0,0
183,oinput,0,0,0,0,0,0,0,0,0
184,oinput,0,0,0,0,0,0,0,0,0
185,oinput,0,0,0,0,0.000249349,0,0,0,0.000961052
186,smach,0,0,0,0,0,0,0.099315068,0,0
187,smach,0.146569647,0,0,0,0,0,0,0,0
188,smach,0.558212058,1,1,0.987179487,0.201752639,0.698578199,0.363013699,0.188761192,0
189,smach,0.217255717,0,0,0,0.022306313,0,0.311643836,0,0
190,smach,0,0,0,0,0.323043218,0,0,0,0
191,smach,0.077962578,0,0,0.012820513,0.194981079,0.301421801,0.119863014,0.036081785,1
192,oinput,0,0,0,0,0,0,0,0,0
193,oinput,0.000870861,0,0,0,0,0,0,0,0.006676783
194,oinput,0,0,0,0,0,0,0.000222523,0,0
195,oinput,0,0,0,0,0,0,0,0,0.003338392
196,oinput,0.000754148,0,0,0,0,0,0,0,0
197,oinput,0,0,0,0,0,0,0,0,0
198,oinput,0,0,0,0,0,0,0,0,0
199,oinput,0,0,0,0,0,0,0,0,0
200,oinput,0,0,0,0,0,0,0,0,0
201,lmach,0.76297984,0.786381842,0.766052763,0.875534811,0.690322873,0.730924032,0.881576692,0.882905983,0
202,oinput,0,0,0,0,0,0,0,0,0
203,oinput,0,0,0,0,0,0,0,0,0
204,oinput,0,0,0,0,0,0,0,0,0
205,oinput,0,0,0,0,0,0,0,0,0
206,oinput,0,0,0,0,0,0,0,0,0
207,oinput,0,0,0,0,0,0,0,0,0
208,oinput,0,0,0,0,0,0,0,0,0.059180577
209,oinput,0,0,0,0,0,0,0,0,0
210,oinput,0,0,0,0,0,0,0,0,0
211,oinput,0,0,0,0,0,0,0,0,0
212,oinput,0,0,0,0,0,0,0,0,0
213,oinput,0,0,0,0,0,0,0,0,0
214,oinput,0,0,0,0,0.000420136,0,0,0,0.004299444
215,oinput,0,0,0,0,0,0,0,0,0
216,oinput,0,0,0,0,0,0,0,0,0
217,oinput,0,0,0,0,0,0,0,0,0
218,oinput,0,0,0,0,0,0,0,0,0
219,oinput,0,0,0,0,0.000261304,0.001883097,0,0,0
220,oinput,0,0,0,0,0,6.60736E-05,0,0,0
221,oinput,0,0,0,0,0,0.000330368,0,0,0
222,oinput,0,0,0,0,0,0.001463058,0,0,0
223,oinput,0,0,0,0,0,0,0,0,0
224,oinput,0,0,0,0,0,0,0,0,0
