TC,io,rice,barley,bean,potato,vegi,fruit,flower,misscrop,dairy,meat,pork,poultry,misslstock
oinput,22,0.033586887,0.050264686,0.085670798,0.02539887,0.013449468,0.044174906,0.004913305,0.052158009,0.092027785,0.089877248,0.002938069,0,0.072484895
oinput,23,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,24,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,30,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,31,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,32,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,33,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,34,0,0,0,0,0,0,0.000792181,0.003484321,0.00227425,0.000222666,0,0,0
oinput,35,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,36,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,37,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,38,0,0,0,0,0,0,0,0,0.079246148,0,0.020294813,0,0
oinput,39,0,0,0,0,0,0,0,0,0.053400797,0,0,0,0
oinput,40,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,41,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,42,0.003946768,0.001194661,0,0.155970523,0.002522523,0.002647663,0,0.009838867,0,0.02272338,0.042441012,0.003421781,0
oinput,43,0,0,0,0,0,0,0,0,0,0,0,0,0.021808766
oinput,44,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,45,0,0,0,0,0,0,0,0,0.00220373,0,0,0,0.053265561
oinput,46,0,0,0,0,0,0,0,0,0,0,0,0,0.018854896
oinput,47,0.00179128,0.000183053,0.003913894,0,0.000442338,0.001623522,0.001317335,0.000507296,0.000916752,0.001570083,0.003119183,0.001639176,0.000556248
oinput,48,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,49,0,0,0,0,0,0,0,0,0.016483904,0.002552098,0,0,0
oinput,50,0,0,0,0,0,0,0,0.077522795,0,0.008044533,0.161473059,0,0.0725808
oinput,51,0.000372883,0.000240859,0,0,0,0,0,0,0,0,0,0,0
