"","ELEC-a","GAS-a","HEAT-a","Gasoline-a","Jetoil-a","Diesel-a","Kerosene-a","Fueloil-a","LPG-a","Oilpro-a","CoalPro-a","Coal-a","Oil-a","LNG-a","Mining-a","IS-a","Cement-a","Chemistry-a","WoodPaper-a","FiberLeather-a","Mineral-a","nonISmetal-a","Machine-a","Electronics-a","Semi.dis-a","Auto-a","Ship-a","Food-a","MissManu-a","Const-a","Rail-a","Road-a","Air-a","Marine-a","MissTrans-a","Housing-a","Commercial-a","Public-a","Rice-a","Barley-a","Bean-a","Potato-a","Vegi-a","Fruit-a","Flower-a","MissCrop-a","Dairy-a","Meat-a","Pork-a","Poultry-a","MissLstock-a","FF-a","Waste-a"
"CO2",0.178808829361642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.1035400906384,244.75549488,1.44906,0,0,0,0,0,0,0.0105624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.17255647
"CH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.226366432,0,0,0,0,0,0,0.0030996,0,0,0,0,0,0,0,0,0,0,0,0,0,61.2228471515201,0.00662025434447431,0.0192958534952979,0,0.318735379640096,0,0,0,14.2296,26.83296,8.99451,2.4274341,0.4703727,0,71.1217045
"N2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7851567,0,0,0,0,0,0,2.739222,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7174333127338,0.245850116620363,0.527424812064832,0.611916476025816,12.0517208043491,4.36275067218069,1.57738420199888,2.34762025234194,7.28466021468371,18.9573100494226,19.6126571584895,18.7945529563064,2.95736275578239,0,15.90681526
"HFCs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001303465,0,0,0,0,48.5505328425103,0,2.8348515144,29.8959001574897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PFCs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0227943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.7734479,61.185195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
