"","ELEC-a","GASHeat-a","Oil-a","Coal-a","EINT-a","NEINT-a","AGRI-a"
"CO2",0.178808829361642,0,0,0,309.308094970638,54.18311887,0
"CH4",0,0,0,0,5.226366432,71.1248041,114.522375439
"N2O",0,0,0,0,1.7851567,18.64603726,98.048643783
"HFCs",0,0,0,0,0.001303465,81.2812845144,0
"PFCs",0,0,0,0,0,27.0227943,0
"SF6",0,0,0,0,0,196.9586429,0
