,ELEC-a,GAS-a,HEAT-a,ROIL-a,CoalPro-a,Coal-a,Oil-a,LNG-a,Mining-a,IS-a,Cement-a,Orgchem-a,WoodPaper-a,FiberLeather-a,Mineral-a,nonISmetal-a,Machine-a,Electro_e-a,Electro_ne-a,Electro_sig-a,semicon-a,Auto-a,Ship-a,Food-a,MissManu-a,Const-a,Rail-a,Road-a,Air-a,Marine-a,MissTrans-a,Housing-a,Commercial-a,Public-a,Agri-a,Waste-a,Household,Total
GAS-c,439.0882812,0.3170917,42.3403347,0.5375189,0.0148715,0.004716,0,0,0.0544705,15.8963026,0.2362218,5.5258986,0.9957397,4.6300921,8.0178177,8.8564088,6.071901,6.2898829,4.5482243,12.2210288,3.100851,5.4025602,1.264574,2.9872442,21.4932399,4.2565087,0.0775263,14.566504,0.1012058,0.0652249,1.1577539,0.3763031,112.4503127,12.4331966,0.235598,1.7243668,170.74949,908.0892629
ROIL-c,104.6097451,7.6826741,8.5986545,49.2303677,0.8153235,0.0454595,0.0032222,0.0182694,4.3065006,14.9903325,9.6379921,326.062692,6.9068121,7.1222639,24.9549451,4.1468404,11.7281299,7.1906412,7.1742087,2.276567,1.632579,10.7353555,4.4322544,9.3546492,64.7418112,70.2529612,4.3305869,195.6118765,75.7152485,94.5513654,30.9455725,0,263.8347141,40.3469794,44.6608223,9.4462509,289.2644,1807.359069
CoalPro-c,0,0,0,0,0.3149716,0,0,0,0,569.4003309,4.866459,0,0,0,3.1217623,0.3643348,0,0,0,0,0,0,0,0,8.6156365,1.1599303,0,0,0,0,2.980928,0,10.7136189,1.1553505,11.0072493,0,8.65267,622.3532421
Coal-c,1884.089747,0,57.0685293,0,0,0,0,0,0,168.9250107,86.5314059,0,0,0,11.5436928,4.4795761,0,0,0,0,0,0,0,0,9.6713032,0,0,0,0,0,0,0,0.9078383,0,0,0,0,2223.217104
process,0,0,0,0,0,0,0,0,0,1.6919,287.6894,1.4893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.8706
Total,2427.787774,7.9997658,108.0075185,49.7678866,1.1451666,0.0501755,0.0032222,0.0182694,4.3609711,770.9038767,388.9614788,333.0778906,7.9025518,11.752356,47.6382179,17.8471601,17.8000309,13.4805241,11.722433,14.4975958,4.73343,16.1379157,5.6968284,12.3418934,104.5219908,75.6694002,4.4081132,210.1783805,75.8164543,94.6165903,35.0842544,0.3763031,387.906484,53.9355265,55.9036696,11.1706177,468.66656,5851.889277
