"","CoalT","AnthraT","AnthraD","AnthraIm","BituT","BituCoke","BituSteam","PetroT","PetroENG","Gasoline","Kerosene","Diesel","BA","BB","BC","JA1","JP4","AVIG","LPG","Propane","Butane","PetroNENG","Naphta","Solvent","Asphalt","Lubricant","ParaWax","PetroCoke","OtherProd","LNG","TownGas","Hydro","Nuclear","Elect","Heat","Renewable","TotalE"
"IS",17208.364,0,0,0,17208.364,17208.364,0,259.73906,193.433,0,2.796,4.67,0,0.943,185.024,0,0,0,61.52,36.68,24.84,4.78606,0,0,0,0,0,2.907,1.87906,0,1321.3,0,0,3598,0,0,22387.40306
"Nonferr",0,0,0,0,0,0,0,80.61765,58.497,0,0,2.802,0,0.943,54.752,0,0,0,17.423,17.423,0,4.69765,0,0,0,0,0,0,4.69765,0,186.43,0,0,0,0,0,267.04765
"FabMetal",0,0,0,0,0,0,0,510.12919,431.648,28.675,38.212,133.562,23.525,5.658,202.016,0,0,0,56.872,51.352,5.52,21.60919,0,0,0,0,0,0,21.60919,0,1234.42,0,0,6836,0,0,8580.54919
"Other_Manu",1227.84,0,0,0,1227.84,0,1227.84,1039.17361,463.033,5.55,158.44,104.608,5.646,10.373,178.416,0,0,0,541.378,434.658,106.72,34.76261,0,0,0,0,0,0,34.76261,0,628.07,0,0,208,0,0,3103.08361
"Other_E",0,0,0,0,0,0,0,874.23577,51.877,0,0.932,2.802,0,0.943,47.2,0,0,0,0,0,0,822.35877,0,0,0,719.95,0,0,102.40877,0,0,0,0,0,0,0,874.23577
"Const",0,0,0,0,0,0,0,813.71659,794.392,12.025,43.804,662.206,27.289,18.86,30.208,0,0,0,16.506,16.506,0,2.81859,0,0,0,0,0,0,2.81859,0,0,0,0,0,0,0,813.71659
"Transport",0,0,0,0,0,0,0,28818.7520308816,23945.9885989359,7860.65,9.98485036784165,13746.2073854268,4.705,2.55869731424321,23.8644640380419,2298.01820178893,0,0,4870.21414998639,0.654149986384967,4869.56,2.5492819593329,0,0,0,0,0,0,2.5492819593329,0,1006.36,0,0,188,0,357,30370.1120308816
"Rail_t",0,0,0,0,0,0,0,182.13,182.13,0,0,182.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,370.13
"Land_t",0,0,0,0,0,0,0,26328.57006,21457.131,7860.65,9.32,13560.746,4.705,1.886,19.824,0,0,0,4869.56,0,4869.56,1.87906,0,0,0,0,0,0,1.87906,0,1006.36,0,0,0,0,357,27691.93006
"Water_t",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Air_t",0,0,0,0,0,0,0,2308.05197088162,2306.72759893591,0,0.664850367841646,3.33138542684602,0,0.67269731424321,4.04046403804193,2298.01820178893,0,0,0.654149986384967,0.654149986384967,0,0.670221959332899,0,0,0,0,0,0,0.670221959332899,0,0,0,0,0,0,0,2308.05197088162
"Residential",888.612,888.612,767.464,121.148,0,0,0,3715.21731,2812.194,8.325,2076.496,481.944,1.882,4.715,238.832,0,0,0,877.656,850.976,26.68,25.36731,0,0,0,0,0,0,25.36731,0,8911.535,0,0,5263,1531,72,20381.36431
"Commercial",0,0,0,0,0,0,0,2207.54098,1249.247,19.425,903.108,160.648,17.879,19.803,128.384,0,0,0,892.409,840.889,51.52,65.88498,0,0,0,0,0,3.876,62.00898,0,2391.01,0,0,10373,145,33,15149.55098
"Public",0,0,0,0,0,0,0,1213.10154,1172.348,42.55,96.928,551.06,6.587,3.772,18.88,452.571,0,0,23.842,23.842,0,16.91154,0,0,0,0,0,0,16.91154,0,137.56,0,0,2321,42,669,4382.66154
