basecode,basename,KCIS,KCIS_begin,KCIS_end
302,도매 서비스,45110~45220,45110,45220
302,도매 서비스,46101~46742,46101,46742
303,소매 서비스,45110~45220,45110,45220
303,소매 서비스,47111~47999,47111,47999
346,연구개발(국공립),70111~70209,70111,70209
347,연구개발(비영리)? ,70111~70209,70111,70209
348,연구개발(산업),70111~70209,70111,70209
360,중앙정부,84111~84112,84111,84112
360,중앙정부,84114~84500,84114,84500
