"","X","index","demand","dist","value"
"1","Diesel-c",1,"Road.a","30.3406596735969","5047.21"
"2","Diesel-c",2,"Commercial.a","19.5574836298303","3253.414"
"3","Diesel-c",3,"Const.a","12.3757389179145","2058.721"
"4","Diesel-c",4,"MissTrans.a","5.22791036995429","869.67"
"5","Diesel-c",5,"FF.a","4.34281390906573","722.433"
"6","Fueloil-c",1,"Marine.a","47.056841648231","6130.019"
"7","Fueloil-c",2,"ELEC.a","14.0666281359584","1832.437"
"8","Fueloil-c",3,"Commercial.a","5.94282312078932","774.162"
"9","Fueloil-c",4,"Chemistry.a","4.56233473062805","594.328"
"10","Fueloil-c",5,"Public.a","4.45641494456176","580.53"
"11","Gasoline-c",1,"Commercial.a","47.9818676816158","1344.379"
"12","Gasoline-c",2,"Machine.a","5.41042911678292","151.592"
"13","Gasoline-c",3,"Chemistry.a","5.01708158329788","140.571"
"14","Gasoline-c",4,"Const.a","3.8183727311403","106.985"
"15","Gasoline-c",5,"Diesel.a","3.24285971258969","90.86"
"16","Jetoil-c",1,"Air.a","92.2538272167931","4661.001"
"17","Jetoil-c",2,"Ship.a","3.15127605561434","159.214"
"18","Jetoil-c",3,"Public.a","3.11521374342239","157.392"
"19","Jetoil-c",4,"MissTrans.a","1.41266487819766","71.373"
"20","Jetoil-c",5,"FF.a","0.0586259981956968","2.962"
"21","Kerosene-c",1,"Commercial.a","49.5061794965813","1377.153"
"22","Kerosene-c",2,"Public.a","6.48724917139385","180.461"
"23","Kerosene-c",3,"Vegi.a","5.65745673633429","157.378"
"24","Kerosene-c",4,"ELEC.a","4.2809639870874","119.087"
"25","Kerosene-c",5,"Machine.a","2.9272624003336","81.43"
"26","LPG-c",1,"Commercial.a","38.9135197782891","3190.014"
"27","LPG-c",2,"Road.a","19.8256437994018","1625.247"
"28","LPG-c",3,"Machine.a","4.5428468298612","372.409"
"29","LPG-c",4,"Chemistry.a","4.45459037844879","365.174"
"30","LPG-c",5,"GAS.a","3.43332844171799","281.454"
