"","ELEC","GAS","HEAT","Gasoline","Jetoil","Diesel","Kerosene","Fueloil","LPG","Oilpro","CoalPro","Coal","Oil","LNG","Mining","IS","Cement","Chemistry","WoodPaper","FiberLeather","Mineral","nonISmetal","Machine","Electronics","Semidis","Auto","Ship","Food","MissManu","Const","Rail","Road","Air","Marine","MissTrans","Housing","Commercial","Public","Rice","Barley","Bean","Potato","Vegi","Fruit","Flower","MissCrop","Dairy","Meat","Pork","Poultry","MissLstock","FF","Waste","Dint","HE","GE","HI","GI","ST","Gold","EX","Dfin","Dtotal","Qtotal","Qself","Imp","Resout","Stotal_b","PTAXd","PTAXim","Psub","Cmargin","Tmargin","Contotal","Stotal_p"
"Bean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,789521,3941,0,0,0,0,0,0,0,24557,0,0,0,450,0,20019,0,0,0,2819,7925,4145,851,748,0,0,855110,381327,0,0,0,-6517,0,1321,376131,1231241,562846,0,668395,0,1231241,0,0,0,0,0,0,1231241
"Potato",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111282,779,0,0,0,0,0,0,0,216519,0,0,0,0,27672,0,0,0,0,0,1542,28889,0,88,0,0,386771,184281,0,0,0,-21373,0,863,163771,550542,534630,0,15912,0,550542,0,0,0,0,0,0,550542
"Vegi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3002,0,0,0,0,0,0,0,0,0,1497188,5999,0,0,0,0,0,0,0,2166080,447,0,0,0,0,1543,0,0,0,0,0,686,204,0,0,0,3675149,5710589,0,0,0,94651,0,182940,5988180,9663329,9297279,0,366050,0,9663329,0,0,0,0,0,0,9663329
"Fruit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14341,0,0,0,0,0,0,0,0,0,497845,1966,0,0,0,0,0,0,0,729718,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244813,2911819,0,0,0,62857,0,101406,3076082,4320895,3580672,0,740223,0,4320895,0,0,0,0,0,0,4320895
"Flower",1268,81,200,302,179,402,68,97,69,417,66,0,0,0,402,4957,1688,12624,3064,4706,1067,2438,11017,3287,10677,7349,1147,3058,5370,758387,109,1590,145,1132,9762,0,227265,43347,24,0,0,0,0,0,84471,0,0,0,0,0,0,763,2454,1205449,213472,0,17281,9671,16984,0,120085,377493,1582942,1535706,0,47236,0,1582942,0,0,0,0,0,0,1582942
"MissCrop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706268,0,477005,0,0,0,0,0,4164,3,1806101,9647,979,0,0,0,0,0,0,566004,37224,0,0,0,0,109722,0,1949,116331,13458,33291,6886,1548,4640,4733,0,4899953,863996,0,0,0,18443,0,45784,928223,5828176,2508960,0,3319216,0,5828176,0,0,0,0,0,0,5828176
"Dairy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656336,0,0,0,0,0,0,0,0,0,0,2340,195,0,0,3529,723,0,15,5464,34,0,0,0,0,0,1668636,0,0,143738,0,-4836,0,0,138902,1807538,1806517,0,1021,0,1807538,0,0,0,0,0,0,1807538
"Meat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3892780,0,0,0,0,0,0,0,0,0,5235,10191,508,0,0,37360,5970,0,6285,10683,24748,0,0,0,0,0,3993760,0,0,0,0,711294,0,0,711294,4705054,4701208,0,3846,0,4705054,0,0,0,0,0,0,4705054
"Pork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4680910,0,0,0,0,0,0,0,0,0,3668,4176,907,0,0,5889,4630,0,7547,0,0,10558,0,0,0,0,4718285,0,0,0,0,150211,0,128,150339,4868624,4863727,0,4897,0,4868624,0,0,0,0,0,0,4868624
"Poultry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3457,0,0,0,0,0,0,0,0,0,2662523,3267,0,0,0,0,0,0,0,586317,98,1644,372,0,0,54541,9614,0,2753,0,0,0,363660,0,0,0,3688246,913199,0,0,0,73833,0,3052,990084,4678330,4660846,0,17484,0,4678330,0,0,0,0,0,0,4678330
"MissLstock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73451,0,135163,0,0,0,0,0,0,0,92883,6422,0,0,0,0,0,0,0,102340,4031,3223,479,0,0,6884,1093,0,10725,0,0,0,0,16933,0,0,453627,476367,0,74730,3728,22173,0,3698,580696,1034323,733394,0,300929,0,1034323,0,0,0,0,0,0,1034323
"FF",0,0,0,0,0,0,0,0,0,0,0,2800,0,0,417,0,0,25423,1068586,0,0,627,0,0,0,0,0,3349098,18800,58671,0,0,0,0,0,0,2445748,2449,4388,268,394,355,18206,9360,643,3966,5220,15742,292,0,4006,365281,0,7400740,2786364,0,168651,3872,505990,0,296428,3761305,11162045,9629498,0,1532547,0,11162045,0,0,0,0,0,0,11162045
"Waste",184820,4750,14699,2182,0,10,731,58,133,49122,8532,79,2,6,4198,2463728,343760,1669966,727316,129601,122167,918908,621196,186387,77787,303764,89402,378629,223234,215429,16606,133583,140,840,89195,0,2760962,553388,704,0,0,0,0,0,2587,29,0,3369,2380,1622,631,5033,1003628,13315293,2486224,683147,0,0,0,0,39108,3208479,16523772,16519250,0,4522,0,16523772,0,0,0,0,0,0,16523772
"idinput1",28616833,20730667,2533666,12226867,10362146,29792427,4851590,10661101,3266182,23752451,6179977,175702,13418,65957,1314611,139299316,14950122,174331824,26482779,50262757,10257858,37122649,138688749,74977788,195626498,114406805,48064253,64519465,29305727,119731245,1645339,18796738,11200934,30827640,17602160,13926869,394783819,41795486,8561687,49555,59690,119632,2991908,1042946,768487,578694,999768,3217383,3681390,3654489,294515,4343883,9272998,1962787440,591335527,183108515,296290765,61910924,17250956,863858,631976463,1782737008,3745524448,3048067463,96335425,591677716,9443844,3745524448,0,0,0,0,0,0,3745524448
"PTAXin",263253,2025732,84276,217267,100565,463372,102416,158047,71748,374376,-38195,11621,141,812,72503,160077,119117,1082519,135451,567641,281353,123951,897298,495742,880386,533466,118031,1222722,291195,3023935,188426,3710755,26983,1054555,617842,415802,17674868,3221778,77534,1228,1271,2383,85086,40704,7177,14319,10470,28291,13404,14210,7919,151320,799595,42006738,46452566,0,25935922,4639034,1082046,67562,0,78177130,120183868,99506481,0,20677387,0,120183868,0,0,0,0,0,0,120183868
"Resin",-47827,-272,-5568,-5425,-4814,-13716,-2227,-4839,-1474,-16717,-481,-723,0,0,-2714,-507880,-61824,-783300,-216001,-100260,-46597,-179476,-1298991,-198805,-278330,-193246,-145304,-81180,-27060,-564272,-5532,-17881,-102,-22459,-27574,-2419,-506907,-78188,-10,0,0,0,-88,0,0,0,0,0,0,-64,-16,-2126,-62690,-5515379,-1075434,0,-2351576,-501455,0,0,0,-3928465,-9443844,0,0,0,-9443844,-9443844,0,0,0,0,0,0,-9443844
"idinput2",28832259,22756127,2612374,12438709,10457897,30242083,4951779,10814309,3336456,24110110,6141301,186600,13559,66769,1384400,138951513,15007415,174631043,26402229,50730138,10492614,37067124,138287056,75274725,196228554,114747025,48036980,65661007,29569862,122190908,1828233,22489612,11227815,31859736,18192428,14340252,411951780,44939076,8639211,50783,60961,122015,3076906,1083650,775664,593013,1010238,3245674,3694794,3668635,302418,4493077,10009903,1999278799,636712659,183108515,319875111,66048503,18333002,931420,631976463,1856985673,3856264472,3147573944,96335425,612355103,0,3856264472,0,0,0,0,0,0,3856264472
"Payroll",3438079,682118,236523,51617,156715,351184,49769,96278,21916,384016,27564,113700,1501,6732,572173,7059102,1751171,15481663,4582609,6808156,2049462,2308332,25990272,11720319,18539526,15993215,7216495,6578687,11898961,44786876,2943381,10219979,2157200,1070123,6549472,0,237494103,80684516,260071,6437,13953,35963,498058,216959,55854,182279,16075,21880,102256,95992,76367,2028778,2665831,536350258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Surplus",1249839,1220322,316784,107059,404294,1036250,95105,198426,83042,1102484,335312,-33258,12329,75742,812492,11420433,1221682,18543231,3055703,5940918,2146142,2686922,18082596,8483628,17080545,7877673,5791307,3872435,6838491,7303694,-1353287,4368244,665359,429660,3630185,44666507,163142883,337635,4047243,104740,446272,313425,4423099,1753710,468264,1435675,600811,953973,710669,421078,289768,1810751,1958275,362986561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deprec",7904122,1444482,670506,146889,286164,587423,139526,253158,31555,520984,95250,44229,7968,51834,451698,4451479,992399,10252100,1483883,2140354,2184059,1338652,7643053,6851632,28810020,7249594,4121892,3019837,2422305,4936845,1057017,3748417,1808666,2211794,3932764,17766248,60139184,33605465,893650,24693,22842,45353,1249833,497120,228075,247490,167675,449191,331149,451320,61057,836464,1823823,232133182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTAXetc",110188,17229,3320,18146,16097,45870,7452,16177,4942,32564,504,1141,164,930,17321,138683,26551,281049,49396,76753,23398,59974,258460,133621,289237,192433,90203,110566,70078,960191,13865,172880,60977,119383,109036,4323026,4737081,25681,242888,6455,18818,17874,49383,29233,7849,50503,11718,30490,24859,23821,3784,460428,61418,13654088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA",12702228,3364151,1227133,323711,863270,2020727,291852,564039,141455,2040048,458630,125812,21962,135238,1853684,23069697,3991803,44558043,9171591,14966181,6403061,6393880,51974381,27189200,64719328,31312915,17219897,13581525,21229835,57987606,2660976,18509520,4692202,3830960,14221457,66755781,465513251,114653297,5443852,142325,501885,412615,6220373,2497022,760042,1915947,796279,1455534,1168933,992211,430976,5136421,6509347,1145124089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tinput",41534487,26120278,3839507,12762420,11321167,32262810,5243631,11378348,3477911,26150158,6599931,312412,35521,202007,3238084,162021210,18999218,219189086,35573820,65696319,16895675,43461004,190261437,102463925,260947882,146059940,65256877,79242532,50799697,180178514,4489209,40999132,15920017,35690696,32413885,81096033,877465031,159592373,14083063,193108,562846,534630,9297279,3580672,1535706,2508960,1806517,4701208,4863727,4660846,733394,9629498,16519250,3144402888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
