,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,91 ,92 
11 ,150009 ,10330 ,2021 ,175626 ,6511 ,1129 ,2090 ,62888 ,1254 ,11496 ,11069652 ,282374 ,5020 ,166245 ,18027 ,37345 ,53092 ,15357 ,776 ,5678 ,1718 ,11879 ,150314 ,687212 ,9669 ,79465 ,68233 ,91143 ,14946 ,5823 ,146235 ,63285 ,35278 ,68455 ,18995 ,134499 ,164699 ,2352 ,34199 ,10525 ,6995 ,430361 ,111056 ,65526 ,1527261 ,65158 ,6607 ,7713 ,25079 ,157341 ,160899 ,242495 ,644410 ,220415 ,46177 ,600 ,530164 ,314398 ,69676 ,6263 ,4261 ,4802 ,7846 ,40354 ,114010 ,159090 ,38397 ,0 ,64866 ,12042 ,81804 ,5467 ,36169 ,257077 ,341219 ,73855 ,251753 ,266004 ,96460 ,61121 ,90400 ,365619 ,20887054 ,14515295 ,0 ,39648 ,3989 ,1748521 ,0 ,18906363 ,35213816 ,56100870 
12 ,2668 ,1250 ,167 ,4173 ,2626 ,185 ,1086 ,19762 ,1997 ,510 ,220018 ,679699 ,1163 ,17395 ,4359 ,6213 ,24770 ,10051 ,882 ,13428 ,537 ,4370 ,8610 ,911 ,2278 ,12555 ,16156 ,15193 ,8054 ,1833 ,75622 ,19116 ,13857 ,9851 ,4292 ,55683 ,3287 ,1023 ,23726 ,1963 ,84988 ,113013 ,5421 ,2335 ,297637 ,28585 ,1889 ,742 ,1926 ,56007 ,29599 ,49208 ,655411 ,8213 ,8606 ,399 ,91044 ,31539 ,16549 ,4066 ,1880 ,28014 ,7284 ,2487 ,32189 ,21503 ,21266 ,0 ,9532 ,3766 ,52292 ,6529 ,29385 ,38683 ,6607 ,67261 ,13258 ,116733 ,3029 ,60921 ,37156 ,9974 ,3348245 ,1427280 ,0 ,0 ,0 ,115749 ,0 ,2086857 ,3629886 ,6978131 
13 ,29302 ,22292 ,1016 ,194800 ,1549 ,3338 ,3223 ,52423 ,3988 ,0 ,5258 ,2166 ,939602 ,19649 ,833 ,13556 ,23782 ,6264 ,1114 ,370 ,780 ,19984 ,15413 ,940 ,70342 ,63406 ,62304 ,53277 ,70350 ,8043 ,192722 ,63401 ,39196 ,77144 ,1979 ,24629 ,3579 ,749 ,12527 ,6658 ,7896 ,172683 ,136640 ,10775 ,861431 ,79078 ,0 ,0 ,0 ,11678 ,1587345 ,296649 ,98542 ,7622 ,1809 ,0 ,280856 ,74562 ,629 ,0 ,0 ,0 ,778 ,3141 ,0 ,505 ,0 ,0 ,1677 ,2677 ,6298 ,646 ,114747 ,13264 ,1740 ,35334 ,6710 ,30305 ,14333 ,51423 ,4685 ,3555 ,6031961 ,68855 ,0 ,0 ,0 ,13466 ,0 ,57842 ,140163 ,6172124 
14 ,256260 ,18812 ,248 ,8582 ,3608 ,341 ,1274 ,1159936 ,156221 ,210806 ,315804 ,82312 ,40595 ,5121273 ,1365392 ,26038 ,104384 ,36393 ,30070 ,290561 ,12492 ,319652 ,268066 ,13820 ,108641 ,179955 ,70157 ,28766 ,36958 ,5046 ,302548 ,128810 ,53852 ,452412 ,43098 ,110117 ,183643 ,13939 ,180042 ,180539 ,45500 ,119951 ,8146 ,15656 ,500056 ,10374 ,3091 ,1434 ,4057 ,129439 ,315056 ,44086 ,2753152 ,45363 ,10981 ,399 ,156407 ,442299 ,66883 ,10421 ,35822 ,144337 ,1193361 ,9408 ,125986 ,123905 ,32180 ,0 ,51206 ,6374 ,162480 ,43161 ,200968 ,125910 ,43254 ,373265 ,48848 ,94988 ,16304 ,44695 ,89640 ,47389 ,19617695 ,520760 ,0 ,0 ,0 ,-718758 ,0 ,3259960 ,3061962 ,22679657 
15 ,3370 ,966 ,0 ,483 ,5737 ,222 ,520 ,53456 ,16289 ,89517 ,57582 ,40439 ,1263 ,189431 ,905240 ,84113 ,13128 ,7048 ,1329 ,90433 ,1519 ,85038 ,134181 ,502 ,1737 ,23963 ,23886 ,7211 ,5595 ,889 ,60789 ,29404 ,7079 ,41470 ,45089 ,34928 ,6170 ,10805 ,55673 ,12500 ,6152 ,37815 ,1909 ,2406 ,100107 ,10863 ,3281 ,20995 ,13069 ,12409 ,2909 ,22782 ,444120 ,64904 ,7898 ,587 ,126830 ,21749 ,137551 ,19284 ,64853 ,72627 ,449175 ,11386 ,672618 ,307536 ,46025 ,0 ,31533 ,19375 ,261977 ,138649 ,248125 ,84542 ,547679 ,892242 ,422237 ,55353 ,115196 ,187748 ,193274 ,47272 ,8076036 ,4896 ,0 ,0 ,0 ,-41153 ,0 ,150471 ,114214 ,8190250 
16 ,692335 ,47215 ,19921 ,788413 ,109449 ,4217 ,238815 ,417914 ,65499 ,8841 ,307228 ,55633 ,31097 ,185473 ,66416 ,2948838 ,13551924 ,201760 ,24814 ,80980 ,149895 ,615619 ,360536 ,110968 ,294426 ,1485935 ,6678382 ,136819 ,263273 ,39463 ,819759 ,512402 ,251865 ,398701 ,79100 ,99406 ,100811 ,27223 ,173305 ,55935 ,69321 ,717974 ,232776 ,183295 ,788130 ,1636566 ,348324 ,34956 ,213654 ,376425 ,1187252 ,2858485 ,3673592 ,9945233 ,3150506 ,2326620 ,876896 ,1117714 ,276368 ,25678 ,74634 ,199534 ,66075 ,132867 ,283673 ,151269 ,39428 ,0 ,697895 ,306127 ,200623 ,309343 ,796134 ,495620 ,932099 ,1724036 ,380938 ,520381 ,164737 ,471499 ,216216 ,585714 ,71289212 ,17587768 ,0 ,0 ,0 ,2342237 ,0 ,41016828 ,60946833 ,132236045 
17 ,0 ,1662 ,0 ,2800 ,198 ,0 ,441 ,212558 ,14143 ,8343 ,665366 ,35150 ,60018 ,355069 ,30505 ,1133328 ,17249059 ,19600482 ,1277456 ,633173 ,265083 ,2962105 ,1714174 ,575609 ,386729 ,164710 ,247415 ,69863 ,97033 ,11720 ,903928 ,127571 ,79597 ,245986 ,508642 ,120163 ,149581 ,4046 ,24676 ,39074 ,221205 ,174957 ,72189 ,15548 ,345102 ,549224 ,28886 ,72177 ,52788 ,124832 ,40297 ,32812 ,6212 ,3813 ,4427 ,153 ,29561 ,2665 ,0 ,0 ,327 ,1251 ,7615 ,722 ,0 ,0 ,0 ,0 ,353 ,141 ,439121 ,133 ,21853 ,29414 ,13529 ,32046 ,813084 ,806 ,1722 ,2414 ,266 ,27933 ,53147034 ,6256 ,0 ,0 ,0 ,-926212 ,0 ,27189244 ,26269288 ,79416322 
18 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3153 ,223 ,0 ,1352496 ,155476 ,186853 ,277598 ,15282 ,14508 ,68374 ,149937 ,33772 ,3584 ,334 ,867178 ,12373370 ,286875 ,61807 ,95160 ,27520 ,6326 ,12008 ,5088 ,202547 ,81226 ,32089 ,1261159 ,384526 ,33855 ,632321 ,13035 ,120177 ,272765 ,175765 ,211905 ,81866 ,13823 ,534286 ,108 ,0 ,0 ,0 ,0 ,193881 ,52522 ,0 ,0 ,0 ,273 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6249 ,0 ,0 ,0 ,0 ,0 ,0 ,46411 ,0 ,241 ,0 ,19 ,63 ,4249 ,0 ,0 ,0 ,0 ,4462 ,20356745 ,0 ,0 ,0 ,0 ,-457659 ,0 ,18594259 ,18136600 ,38493345 
19 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1405560 ,6680 ,0 ,12646 ,0 ,0 ,427 ,0 ,101 ,0 ,0 ,2380 ,102669 ,1321 ,0 ,781 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4909 ,0 ,0 ,0 ,0 ,0 ,0 ,799 ,2681 ,0 ,403 ,34099 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,598 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1576060 ,0 ,0 ,0 ,0 ,184371 ,0 ,2679631 ,2864002 ,4440062 
20 ,0 ,101541 ,6 ,18292 ,13989 ,409 ,117 ,243701 ,3990 ,954 ,485 ,104 ,364 ,3166 ,223 ,5683 ,4613 ,533 ,86 ,271078 ,22386 ,20292 ,1008 ,166 ,139 ,1101 ,1019 ,647 ,678 ,260 ,8116 ,1755 ,473 ,952 ,429 ,6844 ,189 ,50 ,506 ,260 ,3425 ,9192 ,605 ,164 ,5398 ,5585 ,269 ,785 ,16308 ,25576 ,2262 ,2154 ,15173 ,3264 ,2751 ,13339 ,21998 ,14654 ,8307 ,440 ,1320 ,2285 ,599 ,1216 ,18205 ,51088 ,19268 ,0 ,569 ,493 ,168999 ,1379 ,8288 ,22732 ,106472 ,61386 ,10312268 ,34133 ,7727 ,11165 ,35466 ,10597 ,11763908 ,1249602 ,0 ,0 ,0 ,235221 ,0 ,1498079 ,2982902 ,14746810 
