basecode_row,sector_row,basecode_column,sector_row,sector_ind,sector_name,Va_index,Va_name,Va_dict,FD_index,FD_name,FD_dict
122,ChemPla,122,ChemPla,,,,,,,,
123,ChemPla,123,ChemPla,,,,,,,,
124,ChemPla,124,ChemPla,,,,,,,,
125,ChemPla,125,ChemPla,,,,,,,,
126,ChemPla,126,ChemPla,,,,,,,,
127,ChemPla,127,ChemPla,,,,,,,,
128,ChemPla,128,ChemPla,,,,,,,,
129,ChemPla,129,ChemPla,,,,,,,,
130,ChemPla,130,ChemPla,,,,,,,,
131,ChemPla,131,ChemPla,,,,,,,,
132,ChemPla,132,ChemPla,,,,,,,,
133,ChemPla,133,ChemPla,,,,,,,,
134,ChemPla,134,ChemPla,,,,,,,,
135,ChemPla,135,ChemPla,,,,,,,,
136,ChemPla,136,ChemPla,,,,,,,,
137,ChemPla,137,ChemPla,,,,,,,,
138,ChemPla,138,ChemPla,,,,,,,,
139,ChemPla,139,ChemPla,,,,,,,,
140,MinMet,140,MinMet,,,,,,,,
141,MinMet,141,MinMet,,,,,,,,
142,MinMet,142,MinMet,,,,,,,,
143,MinMet,143,MinMet,,,,,,,,
144,MinMet,144,MinMet,,,,,,,,
145,MinMet,145,MinMet,,,,,,,,
146,MinMet,146,MinMet,,,,,,,,
147,MinMet,147,MinMet,,,,,,,,
148,MinMet,148,MinMet,,,,,,,,
149,MinMet,149,MinMet,,,,,,,,
150,MinMet,150,MinMet,,,,,,,,
151,MinMet,151,MinMet,,,,,,,,
152,MinMet,152,MinMet,,,,,,,,
153,MinMet,153,MinMet,,,,,,,,
154,MinMet,154,MinMet,,,,,,,,
155,MinMet,155,MinMet,,,,,,,,
156,MinMet,156,MinMet,,,,,,,,
157,MinMet,157,MinMet,,,,,,,,
158,MinMet,158,MinMet,,,,,,,,
159,MinMet,159,MinMet,,,,,,,,
160,MinMet,160,MinMet,,,,,,,,
161,MinMet,161,MinMet,,,,,,,,
162,MinMet,162,MinMet,,,,,,,,
163,MinMet,163,MinMet,,,,,,,,
164,MinMet,164,MinMet,,,,,,,,
165,MinMet,165,MinMet,,,,,,,,
166,MinMet,166,MinMet,,,,,,,,
167,MinMet,167,MinMet,,,,,,,,
168,MinMet,168,MinMet,,,,,,,,
169,MinMet,169,MinMet,,,,,,,,
170,MinMet,170,MinMet,,,,,,,,
171,MinMet,171,MinMet,,,,,,,,
172,MinMet,172,MinMet,,,,,,,,
173,MinMet,173,MinMet,,,,,,,,
174,MinMet,174,MinMet,,,,,,,,
175,MinMet,175,MinMet,,,,,,,,
176,MinMet,176,MinMet,,,,,,,,
177,MinMet,177,MinMet,,,,,,,,
178,MinMet,178,MinMet,,,,,,,,
179,Macheqp,179,Macheqp,,,,,,,,
180,MinMet,180,MinMet,,,,,,,,
181,MinMet,181,MinMet,,,,,,,,
182,MinMet,182,MinMet,,,,,,,,
183,MinMet,183,MinMet,,,,,,,,
184,MinMet,184,MinMet,,,,,,,,
185,MinMet,185,MinMet,,,,,,,,
186,MinMet,186,MinMet,,,,,,,,
187,MinMet,187,MinMet,,,,,,,,
188,MinMet,188,MinMet,,,,,,,,
189,MinMet,189,MinMet,,,,,,,,
190,MinMet,190,MinMet,,,,,,,,
191,MinMet,191,MinMet,,,,,,,,
192,MinMet,192,MinMet,,,,,,,,
193,Macheqp,193,Macheqp,,,,,,,,
194,Macheqp,194,Macheqp,,,,,,,,
195,Macheqp,195,Macheqp,,,,,,,,
196,Macheqp,196,Macheqp,,,,,,,,
197,Macheqp,197,Macheqp,,,,,,,,
198,Macheqp,198,Macheqp,,,,,,,,
199,Macheqp,199,Macheqp,,,,,,,,
200,Macheqp,200,Macheqp,,,,,,,,
201,Macheqp,201,Macheqp,,,,,,,,
202,Macheqp,202,Macheqp,,,,,,,,
203,Macheqp,203,Macheqp,,,,,,,,
204,Macheqp,204,Macheqp,,,,,,,,
205,Macheqp,205,Macheqp,,,,,,,,
206,Macheqp,206,Macheqp,,,,,,,,
207,Macheqp,207,Macheqp,,,,,,,,
208,Macheqp,208,Macheqp,,,,,,,,
209,Macheqp,209,Macheqp,,,,,,,,
210,Macheqp,210,Macheqp,,,,,,,,
211,Macheqp,211,Macheqp,,,,,,,,
212,Macheqp,212,Macheqp,,,,,,,,
213,Macheqp,213,Macheqp,,,,,,,,
214,Macheqp,214,Macheqp,,,,,,,,
215,Macheqp,215,Macheqp,,,,,,,,
216,Macheqp,216,Macheqp,,,,,,,,
217,Macheqp,217,Macheqp,,,,,,,,
218,Macheqp,218,Macheqp,,,,,,,,
219,Macheqp,219,Macheqp,,,,,,,,
220,Macheqp,220,Macheqp,,,,,,,,
221,Macheqp,221,Macheqp,,,,,,,,
222,Macheqp,222,Macheqp,,,,,,,,
223,Macheqp,223,Macheqp,,,,,,,,
224,Macheqp,224,Macheqp,,,,,,,,
225,Macheqp,225,Macheqp,,,,,,,,
226,Macheqp,226,Macheqp,,,,,,,,
227,Macheqp,227,Macheqp,,,,,,,,
228,Macheqp,228,Macheqp,,,,,,,,
229,Macheqp,229,Macheqp,,,,,,,,
230,Macheqp,230,Macheqp,,,,,,,,
231,EleEqp,231,EleEqp,,,,,,,,
232,EleEqp,232,EleEqp,,,,,,,,
233,EleEqp,233,EleEqp,,,,,,,,
234,EleEqp,234,EleEqp,,,,,,,,
235,EleEqp,235,EleEqp,,,,,,,,
236,Macheqp,236,Macheqp,,,,,,,,
237,EleEqp,237,EleEqp,,,,,,,,
238,EleEqp,238,EleEqp,,,,,,,,
239,EleEqp,239,EleEqp,,,,,,,,
240,Macheqp,240,Macheqp,,,,,,,,
241,Macheqp,241,Macheqp,,,,,,,,
242,Macheqp,242,Macheqp,,,,,,,,
243,Macheqp,243,Macheqp,,,,,,,,
244,Macheqp,244,Macheqp,,,,,,,,
245,Macheqp,245,Macheqp,,,,,,,,
246,Macheqp,246,Macheqp,,,,,,,,
247,Macheqp,247,Macheqp,,,,,,,,
248,Macheqp,248,Macheqp,,,,,,,,
249,Vehicle,249,Vehicle,,,,,,,,
250,Vehicle,250,Vehicle,,,,,,,,
251,Vehicle,251,Vehicle,,,,,,,,
252,Vehicle,252,Vehicle,,,,,,,,
253,Vehicle,253,Vehicle,,,,,,,,
254,Vehicle,254,Vehicle,,,,,,,,
255,Vehicle,255,Vehicle,,,,,,,,
256,Vehicle,256,Vehicle,,,,,,,,
257,Vehicle,257,Vehicle,,,,,,,,
258,Vehicle,258,Vehicle,,,,,,,,
259,Vehicle,259,Vehicle,,,,,,,,
260,Vehicle,260,Vehicle,,,,,,,,
261,Vehicle,261,Vehicle,,,,,,,,
262,Vehicle,262,Vehicle,,,,,,,,
263,Manufac,263,Manufac,,,,,,,,
264,Manufac,264,Manufac,,,,,,,,
265,Manufac,265,Manufac,,,,,,,,
266,Manufac,266,Manufac,,,,,,,,
267,Manufac,267,Manufac,,,,,,,,
268,Manufac,268,Manufac,,,,,,,,
269,Manufac,269,Manufac,,,,,,,,
270,Manufac,270,Manufac,,,,,,,,
271,Manufac,271,Manufac,,,,,,,,
272,Manufac,272,Manufac,,,,,,,,
273,PubSer,273,PubSer,,,,,,,,
274,Electri,274,Electri,,,,,,,,
275,Electri,275,Electri,,,,,,,,
276,Electri,276,Electri,,,,,,,,
