colindex_384,colname_384,rowindex_384,rowname_384
82,기타가죽제품,82,기타가죽제품
83,제재목,83,제재목
84,합판,84,합판
85,강화및재생목재,85,강화및재생목재
86,건축용목제품,86,건축용목제품
87,목재용기및적재판,87,목재용기및적재판
88,기타목제품,88,기타목제품
89,펄프,89,펄프
90,인쇄용지,90,인쇄용지
91,기타원지및판지,91,기타원지및판지
92,골판지및골판지상자,92,골판지및골판지상자
93,종이용기,93,종이용기
94,종이문구및사무용지,94,종이문구및사무용지
95,위생용종이제품,95,위생용종이제품
96,기타종이제품,96,기타종이제품
97,인쇄,97,인쇄
98,기록매체복제,98,기록매체복제
99,석탄코크스및관련제품,99,석탄코크스및관련제품
100,연탄,100,연탄
101,나프타,101,나프타
102,휘발유,102,휘발유
103,제트유,103,제트유
104,등유,104,등유
105,경유,105,경유
106,중유,106,중유
107,액화석유가스,107,액화석유가스
108,정제혼합용원료유,108,정제혼합용원료유
109,윤활유및그리스,109,윤활유및그리스
110,기타석유정제제품,110,기타석유정제제품
111,지방족기초유분,111,지방족기초유분
112,방향족기초유분,112,방향족기초유분
113,석유화학중간제품,113,석유화학중간제품
114,석탄화합물,114,석탄화합물
115,기타기초유기화합물,115,기타기초유기화합물
116,산업용가스,116,산업용가스
117,기초무기화합물,117,기초무기화합물
118,염료안료및유연제,118,염료안료및유연제
119,합성수지,119,합성수지
120,합성고무,120,합성고무
121,화학섬유,121,화학섬유
122,의약품,122,의약품
123,비료및질소화합물,123,비료및질소화합물
124,살충제및농약,124,살충제및농약
125,도료,125,도료
126,잉크,126,잉크
127,비누세제및치약,127,비누세제및치약
128,화장품,128,화장품
129,접착제및젤라틴,129,접착제및젤라틴
130,사진용화학제품및감광재료,130,사진용화학제품및감광재료
131,기타화학제품,131,기타화학제품
132,플라스틱1차제품,132,플라스틱1차제품
133,건축용플라스틱제품,133,건축용플라스틱제품
134,포장용플라스틱제품,134,포장용플라스틱제품
135,조립용플라스틱제품,135,조립용플라스틱제품
136,기타플라스틱제품,136,기타플라스틱제품
137,타이어및튜브,137,타이어및튜브
138,산업용고무제품,138,산업용고무제품
139,기타고무제품,139,기타고무제품
140,판유리및1차유리,140,판유리및1차유리
141,전자기기용유리제품,141,전자기기용유리제품
142,산업용전자기기제외유리제품,142,산업용전자기기제외유리제품
143,기타유리제품,143,기타유리제품
144,가정용도자기,144,가정용도자기
145,산업용도자기,145,산업용도자기
146,내화요업제품,146,내화요업제품
147,건설용비내화요업제품,147,건설용비내화요업제품
148,시멘트,148,시멘트
149,레미콘,149,레미콘
150,콘크리트제품,150,콘크리트제품
151,석회및석고제품,151,석회및석고제품
152,석제품,152,석제품
153,연마재,153,연마재
154,아스콘및아스팔트제품,154,아스콘및아스팔트제품
155,석면및암면,155,석면및암면
156,기타비금속광물제품,156,기타비금속광물제품
157,선철,157,선철
158,합금철,158,합금철
159,조강,159,조강
160,철근및봉강,160,철근및봉강
161,형강,161,형강
162,선재및궤조,162,선재및궤조
163,열연후판및강판,163,열연후판및강판
164,강선,164,강선
165,철강관,165,철강관
166,냉간압연강재,166,냉간압연강재
167,표면처리강재,167,표면처리강재
168,기타철강1차제품,168,기타철강1차제품
169,동제련정련및합금제품,169,동제련정련및합금제품
170,알루미늄제련정련및합금제품,170,알루미늄제련정련및합금제품
171,연및아연제련정련및합금제품,171,연및아연제련정련및합금제품
172,금은괴,172,금은괴
173,기타비철금속제련정련및합금제품,173,기타비철금속제련정련및합금제품
174,동1차제품,174,동1차제품
175,알루미늄1차제품,175,알루미늄1차제품
176,기타비철금속1차제품,176,기타비철금속1차제품
177,금속주물,177,금속주물
178,건축용금속제품,178,건축용금속제품
179,구조물용금속제품,179,구조물용금속제품
180,금속제탱크및압력용기,180,금속제탱크및압력용기
181,산업용보일러및증기발생기,181,산업용보일러및증기발생기
182,금속단조및야금제품,182,금속단조및야금제품
183,금속압형제품,183,금속압형제품
184,금속처리,184,금속처리
185,금속처리가공품,185,금속처리가공품
186,가정용금속제품,186,가정용금속제품
187,부착용금속제품,187,부착용금속제품
188,공구류,188,공구류
189,나사및철선제품,189,나사및철선제품
190,금속포장용기,190,금속포장용기
191,기타금속제품,191,기타금속제품
192,내연기관및터빈,192,내연기관및터빈
193,펌프및압축기,193,펌프및압축기
194,밸브,194,밸브
195,베어링기어및동력전달장치,195,베어링기어및동력전달장치
196,산업용운반기계,196,산업용운반기계
197,공기조절장치및냉장냉동장비,197,공기조절장치및냉장냉동장비
198,공기및액체여과기,198,공기및액체여과기
199,사무용기기,199,사무용기기
200,기타일반목적용기계,200,기타일반목적용기계
201,농업용기계,201,농업용기계
202,건설및광산용기계,202,건설및광산용기계
203,금속절삭기계,203,금속절삭기계
204,금속성형기계,204,금속성형기계
205,금형및주형,205,금형및주형
206,반도체제조용기계,206,반도체제조용기계
207,디스플레이제조용기계,207,디스플레이제조용기계
208,음식료품가공기계,208,음식료품가공기계
209,섬유및의복가공기계,209,섬유및의복가공기계
210,산업용로봇,210,산업용로봇
211,제지및인쇄기계,211,제지및인쇄기계
212,고무및플라스틱성형기계,212,고무및플라스틱성형기계
213,기타특수목적용기계,213,기타특수목적용기계
214,발전기및전동기,214,발전기및전동기
215,변압기,215,변압기
216,전기변환장치,216,전기변환장치
217,전기회로개폐및접속장치,217,전기회로개폐및접속장치
218,배전반및전기자동제어반,218,배전반및전기자동제어반
219,전지,219,전지
220,전선및케이블,220,전선및케이블
221,전구및램프,221,전구및램프
222,조명장치,222,조명장치
223,기타전기장비,223,기타전기장비
224,개별소자,224,개별소자
225,집적회로,225,집적회로
226,LCD평판디스플레이,226,LCD평판디스플레이
227,기타전자표시장치,227,기타전자표시장치
228,인쇄회로기판및실장기판,228,인쇄회로기판및실장기판
229,축전기저항기전자코일및변성기,229,축전기저항기전자코일및변성기
230,기타전자부품,230,기타전자부품
231,컴퓨터,231,컴퓨터
232,컴퓨터기억장치,232,컴퓨터기억장치
233,컴퓨터주변기기,233,컴퓨터주변기기
234,유선통신기기,234,유선통신기기
235,이동전화기,235,이동전화기
236,기타무선통신장비및방송장비,236,기타무선통신장비및방송장비
237,TV,237,TV
238,영상기기,238,영상기기
239,오디오및음향기기,239,오디오및음향기기
240,가정용냉장고및냉동고,240,가정용냉장고및냉동고
241,주방용및난방용전기기기,241,주방용및난방용전기기기
242,기타가정용전기기기,242,기타가정용전기기기
243,의료용기기,243,의료용기기
244,측정및분석기,244,측정및분석기
245,자동조정및제어기기,245,자동조정및제어기기
246,사진기및영사기,246,사진기및영사기
247,안경및기타광학기기,247,안경및기타광학기기
248,시계,248,시계
249,승용차,249,승용차
250,버스,250,버스
251,트럭,251,트럭
252,특장차,252,특장차
253,트레일러및컨테이너,253,트레일러및컨테이너
254,자동차용엔진,254,자동차용엔진
255,자동차부분품,255,자동차부분품
256,강철제선박,256,강철제선박
257,기타선박,257,기타선박
258,선박수리및부분품,258,선박수리및부분품
259,철도차량,259,철도차량
260,항공기,260,항공기
261,모터사이클,261,모터사이클
262,기타운수장비,262,기타운수장비
263,목재가구,263,목재가구
264,금속가구,264,금속가구
265,기타가구,265,기타가구
266,장난감및오락용품,266,장난감및오락용품
267,운동및경기용품,267,운동및경기용품
268,악기,268,악기
269,문방구,269,문방구
270,귀금속및보석,270,귀금속및보석
271,모형및장식용품,271,모형및장식용품
272,기타제조업제품,272,기타제조업제품
273,제조임가공서비스,273,제조임가공서비스
274,수력,274,수력
275,화력,275,화력
276,원자력,276,원자력
277,자가발전,277,자가발전
278,신재생에너지,278,신재생에너지
279,도시가스,279,도시가스
280,증기및온수,280,증기및온수
281,수도,281,수도
282,하수폐수및분뇨처리국공립,282,하수폐수및분뇨처리국공립
283,하수폐수및분뇨처리산업,283,하수폐수및분뇨처리산업
284,폐기물수집운반및처리국공립,284,폐기물수집운반및처리국공립
285,폐기물수집운반및처리산업,285,폐기물수집운반및처리산업
286,자원재활용서비스,286,자원재활용서비스
287,주거용건물,287,주거용건물
288,비주거용건물,288,비주거용건물
289,건축보수,289,건축보수
290,도로시설,290,도로시설
291,철도시설,291,철도시설
292,항만시설,292,항만시설
293,하천사방,293,하천사방
294,상하수도시설,294,상하수도시설
295,농림수산토목,295,농림수산토목
296,도시토목,296,도시토목
297,환경정화시설,297,환경정화시설
298,통신시설,298,통신시설
299,전력시설,299,전력시설
300,산업플랜트,300,산업플랜트
301,기타건설,301,기타건설
302,도매서비스,302,도매서비스
303,소매서비스,303,소매서비스
304,철도여객운송서비스,304,철도여객운송서비스
305,철도화물운송서비스,305,철도화물운송서비스
306,도로여객운송서비스,306,도로여객운송서비스
307,도로화물운송서비스,307,도로화물운송서비스
308,소화물전문운송서비스,308,소화물전문운송서비스
309,연안및내륙수상운송서비스,309,연안및내륙수상운송서비스
310,외항운송서비스,310,외항운송서비스
311,항공운송서비스,311,항공운송서비스
312,육상운송보조서비스,312,육상운송보조서비스
313,수상운송보조서비스,313,수상운송보조서비스
314,항공운송보조서비스,314,항공운송보조서비스
315,하역서비스,315,하역서비스
316,보관및창고서비스,316,보관및창고서비스
317,기타운송관련서비스,317,기타운송관련서비스
318,일반음식점,318,일반음식점
319,주점,319,주점
320,기타음식점,320,기타음식점
321,숙박,321,숙박
322,우편서비스,322,우편서비스
323,유선통신서비스,323,유선통신서비스
324,무선통신서비스,324,무선통신서비스
325,기타전기통신서비스,325,기타전기통신서비스
326,지상파방송서비스,326,지상파방송서비스
327,유선위성및기타방송,327,유선위성및기타방송
328,정보서비스,328,정보서비스
329,소프트웨어개발공급,329,소프트웨어개발공급
330,컴퓨터관리서비스,330,컴퓨터관리서비스
331,신문,331,신문
332,출판,332,출판
333,영상·오디오물제작및배급,333,영상·오디오물제작및배급
334,영화상영,334,영화상영
335,중앙은행및예금취급기관,335,중앙은행및예금취급기관
336,금융투자기관,336,금융투자기관
337,기타금융중개기관,337,기타금융중개기관
338,생명보험,338,생명보험
339,비생명보험,339,비생명보험
340,금융및보험보조서비스,340,금융및보험보조서비스
341,주거서비스,341,주거서비스
342,비주거용건물임대,342,비주거용건물임대
343,부동산개발및공급,343,부동산개발및공급
344,부동산관련서비스,344,부동산관련서비스
345,기계장비및용품임대,345,기계장비및용품임대
346,연구개발국공립,346,연구개발국공립
347,연구개발비영리?,347,연구개발비영리?
348,연구개발산업,348,연구개발산업
349,기업내연구개발,349,기업내연구개발
350,법무및회계서비스,350,법무및회계서비스
351,시장조사및경영컨설팅,351,시장조사및경영컨설팅
352,광고,352,광고
353,건축·토목관련서비스,353,건축·토목관련서비스
354,공학관련서비스,354,공학관련서비스
355,과학기술서비스,355,과학기술서비스
356,기타전문서비스,356,기타전문서비스
357,청소소독및시설유지,357,청소소독및시설유지
358,인력공급및알선,358,인력공급및알선
359,기타사업지원서비스,359,기타사업지원서비스
360,중앙정부,360,중앙정부
361,지방정부,361,지방정부
362,교육서비스국공립,362,교육서비스국공립
363,교육서비스비영리,363,교육서비스비영리
364,교육서비스산업,364,교육서비스산업
365,의료및보건국공립,365,의료및보건국공립
366,의료및보건비영리,366,의료및보건비영리
367,의료및보건산업,367,의료및보건산업
368,사회보험국공립,368,사회보험국공립
369,사회복지서비스국공립,369,사회복지서비스국공립
370,사회복지서비스비영리,370,사회복지서비스비영리
371,문화서비스국공립,371,문화서비스국공립
372,연극음악및기타예술,372,연극음악및기타예술
373,기타문화서비스,373,기타문화서비스
374,스포츠서비스,374,스포츠서비스
375,오락서비스,375,오락서비스
376,산업및전문가단체,376,산업및전문가단체
377,기타사회단체,377,기타사회단체
378,자동차수리서비스,378,자동차수리서비스
379,기계장비수리,379,기계장비수리
380,개인및가정용품수리서비스,380,개인및가정용품수리서비스
381,미용관련서비스,381,미용관련서비스
382,세탁,382,세탁
383,가사서비스,383,가사서비스
384,기타개인서비스,384,기타개인서비스
385,중간수요계,385,소계
386,민간소비지출가계및가계봉사비영리단체,386,순생산물세
387,정부소비지출,387,잔폐물발생
388,민간고정자본형성,388,중간투입계
389,정부고정자본형성,,
390,재고증감,,
391,귀중품순취득,,
392,수출,,
393,최종수요계,,
394,총수요계,,
