colindex_384,colname_384,rowindex_384,rowname_384
1,벼,1,벼
2,맥류및잡곡,2,맥류및잡곡
3,콩류,3,콩류
4,감자류,4,감자류
5,채소,5,채소
6,과실,6,과실
7,약용작물,7,약용작물
8,기타식용작물,8,기타식용작물
9,잎담배,9,잎담배
10,화훼작물,10,화훼작물
11,천연고무,11,천연고무
12,종자및묘목,12,종자및묘목
13,기타비식용작물,13,기타비식용작물
14,낙농,14,낙농
15,육우,15,육우
16,양돈,16,양돈
17,가금,17,가금
18,기타축산,18,기타축산
19,영림,19,영림
20,원목,20,원목
21,식용임산물,21,식용임산물
22,기타임산물,22,기타임산물
23,수산어획,23,수산어획
24,수산양식,24,수산양식
25,농림어업서비스,25,농림어업서비스
26,무연탄,26,무연탄
27,유연탄,27,유연탄
28,원유,28,원유
29,천연가스LNG,29,천연가스LNG
30,철광석,30,철광석
31,기타비철금속광석,31,기타비철금속광석
32,골재및석재,32,골재및석재
33,석회석,33,석회석
34,기타비금속광물,34,기타비금속광물
35,도축육,35,도축육
36,가금육,36,가금육
37,육가공품,37,육가공품
38,우유,38,우유
39,낙농품,39,낙농품
40,수산물가공품,40,수산물가공품
41,수산동물저장품,41,수산동물저장품
42,정곡,42,정곡
43,제분,43,제분
44,원당,44,원당
45,정제당,45,정제당
46,전분및당류,46,전분및당류
47,떡빵및과자류,47,떡빵및과자류
48,면류,48,면류
49,조미료및첨가용식품,49,조미료및첨가용식품
50,유지,50,유지
51,과실및채소가공품,51,과실및채소가공품
52,커피및차류,52,커피및차류
53,인삼및건강보조식품,53,인삼및건강보조식품
54,기타식료품,54,기타식료품
55,사료,55,사료
56,주정,56,주정
57,소주,57,소주
58,맥주,58,맥주
59,기타주류,59,기타주류
60,비알콜음료및얼음,60,비알콜음료및얼음
61,담배,61,담배
62,천연섬유사,62,천연섬유사
63,화학섬유사,63,화학섬유사
64,기타섬유사,64,기타섬유사
65,천연섬유직물,65,천연섬유직물
66,화학섬유직물,66,화학섬유직물
67,기타섬유직물,67,기타섬유직물
68,편조원단,68,편조원단
69,섬유표백및염색,69,섬유표백및염색
70,직물제품,70,직물제품
71,끈로프및어망,71,끈로프및어망
72,기타섬유제품,72,기타섬유제품
73,봉제의류,73,봉제의류
74,편조의류,74,편조의류
75,가죽의류,75,가죽의류
76,모피의류및모피제품,76,모피의류및모피제품
77,의복관련장신품,77,의복관련장신품
78,가죽,78,가죽
79,모피,79,모피
80,가방및핸드백,80,가방및핸드백
81,신발,81,신발
