,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,91 ,92 ,93 ,94 ,95 ,96 ,97 ,98 ,99 ,100 ,101 ,102 ,103 ,104 
11 ,141779 ,9756 ,1922 ,223695 ,6142 ,1046 ,2090 ,60835 ,1254 ,63888 ,17177945 ,377652 ,5176 ,293037 ,24012 ,37845 ,55059 ,17457 ,777 ,7079 ,1668 ,12904 ,212995 ,923937 ,14091 ,86296 ,69823 ,92370 ,15254 ,5944 ,156486 ,79411 ,39765 ,78891 ,22205 ,147858 ,218836 ,2357 ,35106 ,11385 ,9472 ,486806 ,117786 ,70497 ,1660241 ,66753 ,6826 ,7324 ,23128 ,156449 ,173421 ,247484 ,662462 ,230197 ,45181 ,1038 ,546871 ,326772 ,71109 ,5968 ,4370 ,5061 ,7408 ,39483 ,108144 ,151375 ,37697 ,0 ,66732 ,14485 ,82700 ,5976 ,36972 ,258805 ,313141 ,69478 ,245854 ,255132 ,95162 ,64184 ,88239 ,376458 ,27978669 ,17431783 ,0 ,113871 ,3698 ,1987377 ,0 ,18906363 ,38443092 ,66421761 ,54502978 ,0 ,11889496 ,29287 ,66421761 ,0 ,0 ,0 ,0 ,0 ,0 ,66421761 
12 ,2420 ,1128 ,159 ,3812 ,2398 ,167 ,1086 ,18636 ,1997 ,510 ,416483 ,1160662 ,1163 ,18458 ,4405 ,6206 ,24882 ,10130 ,882 ,14611 ,527 ,4567 ,8904 ,911 ,2278 ,12572 ,16221 ,15221 ,8093 ,1833 ,87915 ,19207 ,13799 ,9859 ,4313 ,56298 ,3298 ,1023 ,30337 ,1963 ,91760 ,113784 ,5441 ,2335 ,337936 ,28608 ,1889 ,671 ,1741 ,50834 ,28982 ,49300 ,659597 ,8117 ,8326 ,399 ,92531 ,32044 ,16581 ,4007 ,1903 ,30464 ,6707 ,2443 ,30066 ,20195 ,19335 ,0 ,9586 ,3766 ,49150 ,6615 ,27227 ,38893 ,6155 ,61502 ,12100 ,105964 ,2759 ,60119 ,35621 ,10050 ,4064837 ,5018989 ,0 ,0 ,0 ,224452 ,0 ,2086857 ,7330298 ,11395135 ,6754698 ,0 ,4640437 ,0 ,11395135 ,0 ,0 ,0 ,0 ,0 ,0 ,11395135 
13 ,26900 ,20520 ,962 ,179735 ,1428 ,3074 ,3223 ,51479 ,3988 ,0 ,6282 ,2360 ,1611063 ,122411 ,833 ,13631 ,23943 ,6264 ,1114 ,370 ,748 ,20341 ,16997 ,952 ,70375 ,68363 ,62826 ,53635 ,70973 ,8652 ,213021 ,66814 ,41576 ,80185 ,1979 ,38755 ,3604 ,749 ,12669 ,6769 ,8155 ,185450 ,142698 ,11687 ,1343080 ,79779 ,0 ,0 ,0 ,10913 ,1879317 ,315366 ,114823 ,7818 ,1730 ,0 ,284643 ,115865 ,627 ,0 ,0 ,0 ,723 ,3113 ,0 ,465 ,0 ,0 ,1704 ,2730 ,6144 ,646 ,105728 ,15190 ,1633 ,32758 ,6265 ,30890 ,13408 ,75649 ,4549 ,3752 ,7726861 ,101761 ,0 ,0 ,0 ,6740 ,0 ,57842 ,166343 ,7893204 ,6000620 ,0 ,1809756 ,82828 ,7893204 ,0 ,0 ,0 ,0 ,0 ,0 ,7893204 
14 ,232184 ,17111 ,243 ,7883 ,3343 ,320 ,1274 ,1154119 ,173479 ,297037 ,418020 ,90874 ,41445 ,8619487 ,1600110 ,26146 ,106895 ,37088 ,30237 ,291528 ,12889 ,328787 ,314496 ,13930 ,120603 ,204106 ,70952 ,29111 ,39317 ,5374 ,308069 ,132469 ,54429 ,516979 ,43704 ,130551 ,216177 ,14540 ,189554 ,181387 ,48063 ,134270 ,8392 ,15834 ,512018 ,10563 ,3091 ,1334 ,3759 ,117711 ,325633 ,45625 ,2772757 ,45416 ,10929 ,441 ,161740 ,447228 ,66560 ,10757 ,38498 ,156684 ,1210873 ,9220 ,120088 ,117009 ,30940 ,0 ,52284 ,6572 ,161610 ,46130 ,192433 ,132439 ,42561 ,356081 ,47518 ,88521 ,15159 ,45045 ,87739 ,47650 ,23823422 ,746835 ,0 ,0 ,0 ,-848929 ,0 ,3259960 ,3157866 ,26981288 ,21714005 ,0 ,4629898 ,637385 ,26981288 ,0 ,0 ,0 ,0 ,0 ,0 ,26981288 
15 ,3127 ,893 ,0 ,448 ,5306 ,207 ,520 ,51671 ,16289 ,89542 ,72501 ,45097 ,1263 ,189423 ,974502 ,85449 ,13692 ,7474 ,1380 ,90515 ,1516 ,85171 ,134564 ,584 ,1737 ,23967 ,24510 ,7353 ,5776 ,893 ,62338 ,29986 ,9743 ,50218 ,58632 ,57879 ,14048 ,21823 ,131001 ,12624 ,12901 ,49192 ,2739 ,9232 ,102831 ,10864 ,3281 ,19391 ,12073 ,11463 ,2823 ,22788 ,446987 ,64773 ,8298 ,1122 ,126823 ,21804 ,134195 ,18703 ,65121 ,72670 ,417520 ,10941 ,621394 ,284106 ,42610 ,0 ,31626 ,19416 ,248272 ,138745 ,229375 ,83870 ,550366 ,825918 ,389996 ,51138 ,108270 ,227198 ,182493 ,46509 ,8113499 ,34868 ,0 ,0 ,0 ,-52643 ,0 ,150471 ,132696 ,8246195 ,7859195 ,0 ,387000 ,0 ,8246195 ,0 ,0 ,0 ,0 ,0 ,0 ,8246195 
16 ,744396 ,52618 ,19927 ,811547 ,107532 ,3368 ,154537 ,362844 ,64783 ,13166 ,343807 ,47144 ,39685 ,340066 ,55367 ,4385324 ,29766012 ,251968 ,27750 ,101957 ,165389 ,677692 ,424668 ,121814 ,496317 ,1524666 ,6979219 ,173883 ,258773 ,55691 ,885588 ,436192 ,187063 ,384327 ,78847 ,130403 ,83405 ,21839 ,161968 ,44436 ,51136 ,634400 ,197525 ,177991 ,732676 ,2300089 ,679962 ,20197 ,118397 ,216761 ,741789 ,1893882 ,3335210 ,7946789 ,6913771 ,4687274 ,611216 ,1688115 ,196226 ,16502 ,45830 ,124932 ,44585 ,81053 ,158340 ,92975 ,20851 ,0 ,479546 ,271751 ,127305 ,212173 ,474017 ,354544 ,631207 ,1775253 ,418617 ,387521 ,110945 ,332065 ,185269 ,570541 ,91045206 ,10614617 ,0 ,0 ,0 ,2049735 ,0 ,41016828 ,53681180 ,144726386 ,99830271 ,9366105 ,35111274 ,418736 ,144726386 ,0 ,0 ,0 ,0 ,0 ,0 ,144726386 
17 ,0 ,1540 ,0 ,2594 ,183 ,0 ,441 ,285760 ,14142 ,8342 ,1056075 ,84930 ,60166 ,368107 ,30512 ,1461530 ,24414725 ,23673594 ,2374071 ,1639720 ,693109 ,6635184 ,2283854 ,868904 ,769414 ,267864 ,288419 ,69927 ,202894 ,22878 ,1029605 ,130939 ,96655 ,586514 ,1265453 ,634621 ,258631 ,6041 ,39460 ,41398 ,320687 ,199812 ,74227 ,15548 ,351608 ,1223048 ,28883 ,125026 ,48626 ,114972 ,39551 ,32812 ,6231 ,3756 ,4221 ,210 ,29559 ,2659 ,0 ,0 ,327 ,1353 ,7033 ,677 ,0 ,0 ,0 ,0 ,353 ,141 ,575243 ,133 ,23338 ,28565 ,12475 ,32867 ,786695 ,745 ,1630 ,2377 ,254 ,32512 ,75796350 ,10698 ,0 ,0 ,0 ,-1090833 ,0 ,27189244 ,26109109 ,101905459 ,62182535 ,17085006 ,22631183 ,6735 ,101905459 ,0 ,0 ,0 ,0 ,0 ,0 ,101905459 
18 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5585 ,223 ,0 ,1447939 ,192567 ,187766 ,305266 ,15826 ,16343 ,156405 ,609834 ,181104 ,9783 ,2085 ,1291473 ,13852299 ,966450 ,62774 ,99862 ,27542 ,7597 ,12007 ,5087 ,206370 ,85475 ,38905 ,1436048 ,701146 ,195026 ,669637 ,21541 ,191740 ,286388 ,189674 ,291305 ,95241 ,13822 ,579675 ,108 ,0 ,0 ,0 ,0 ,193787 ,52841 ,0 ,0 ,0 ,634 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5821 ,0 ,0 ,0 ,0 ,0 ,0 ,107420 ,0 ,466 ,0 ,18 ,57 ,3831 ,0 ,0 ,0 ,0 ,5563 ,24828356 ,0 ,0 ,0 ,0 ,-551397 ,0 ,18594259 ,18042862 ,42871218 ,37336895 ,0 ,4392975 ,1141348 ,42871218 ,0 ,0 ,0 ,0 ,0 ,0 ,42871218 
19 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1904546 ,7372 ,0 ,15819 ,0 ,0 ,428 ,0 ,1233 ,0 ,0 ,12548 ,166339 ,4469 ,0 ,781 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12077 ,0 ,0 ,0 ,0 ,0 ,0 ,6483 ,9303 ,0 ,403 ,83779 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4156 ,0 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2229742 ,0 ,0 ,0 ,0 ,164412 ,0 ,2679631 ,2844043 ,5073785 ,4438643 ,0 ,635142 ,0 ,5073785 ,0 ,0 ,0 ,0 ,0 ,0 ,5073785 
20 ,0 ,93646 ,6 ,16925 ,12919 ,378 ,117 ,322964 ,19305 ,954 ,485 ,104 ,364 ,3161 ,220 ,5672 ,4613 ,533 ,86 ,1950795 ,32461 ,25537 ,1008 ,166 ,139 ,1101 ,1019 ,647 ,678 ,260 ,8116 ,1755 ,470 ,952 ,429 ,6843 ,189 ,50 ,506 ,260 ,14167 ,9191 ,605 ,164 ,5397 ,5585 ,269 ,725 ,15042 ,23587 ,2237 ,2154 ,15158 ,3225 ,2544 ,42503 ,21995 ,14608 ,8279 ,432 ,1318 ,7214 ,554 ,1191 ,16792 ,47116 ,17770 ,0 ,569 ,493 ,228541 ,2506 ,8131 ,29122 ,103104 ,56622 ,12128027 ,31486 ,7131 ,11002 ,33704 ,14676 ,15450769 ,1756663 ,0 ,0 ,0 ,266029 ,0 ,1498079 ,3520771 ,18971540 ,13789958 ,0 ,5181582 ,0 ,18971540 ,0 ,0 ,0 ,0 ,0 ,0 ,18971540 
